English,Chinese_Simplified
"Why are you learning Chinese?","你为什么学习中文？"
"Because I am Chinese.","因为我是中国人。"
"How long have you been learning Chinese?","你学习中文多长时间了？"
"I have been learning Chinese for 35 years.","我学习中文35年了。"
"Besides Chinese, what other languages can you speak?","除了中文你还会说什么语言？"
"I can also speak English and Thai. I am currently learning Spanish.","我还会英语、泰语，现在我在学习西班牙语。"
"What is your job?","你的工作是什么？"
"I am a Chinese teacher. I also have my own YouTube channel.","我是中文老师，我也有我的YouTube频道。"
"When did you start this job?","你是什么时候开始这个工作的？"
"I started teaching Chinese ten years ago. I started my YouTube channel three and a half years ago.","我是十年以前开始教中文的，我是三年半以前开始做YouTube的。"
"What are your hobbies?","你有什么爱好？"
"I like running, hiking, and learning languages.","我喜欢跑步、爬山，还有学习语言。"
"How many people are in your family?","你家有几口人？"
"There are seven people in my family: my parents, my older sister, my brother-in-law, my two nieces, and me.","我家有七口人，我的爸爸、妈妈、姐姐、姐夫、我的两个侄女，还有我。"
"Do you have any siblings?","你有兄弟姐妹吗？"
"I have an older sister.","我有一个姐姐。"
"Do you see your family often?","你常常见你的家人吗？"
"Yes, I see them five or six times a year.","嗯对，我一年见他们五次、六次，五六次。"
"Are you single?","你是单身吗？"
"I am not single.","我不是单身。"
"Are you married?","你结婚了吗？"
"I am not married.","我没有结婚。"
"Do you have any children?","你有孩子吗？"
"I don't have any children either.","我也没有孩子。"
"What did you do yesterday?","你昨天做了什么？"
"Yesterday I worked, I ran, and I studied Spanish.","昨天我工作了，我跑了步，我学习了西班牙语。"
"What are your plans for this weekend?","这个周末你有什么打算？"
"This weekend I will be in China. I will go to my sister's house with my parents.","这个周末我会在中国，我会和我的爸爸妈妈一起去我的姐姐家。"
"How has the weather been recently?","最近天气怎么样？"
"In Thailand, it's very hot every day, but recently the weather has been very cool.","在泰国每天都非常热，但是最近天气很凉快。"
"What is your favorite season?","你最喜欢哪个季节？"
"When I was in China, I liked autumn the most.","在中国的时候我最喜欢秋天。"
"From Monday to Sunday, which day do you like the most?","星期一到星期天你最喜欢哪一天？"
"I like Sunday the most because on Sunday I have a lot of time to run.","我最喜欢星期天，因为星期天我有很多时间可以跑步。"
"From Monday to Sunday, which day do you dislike the most?","星期一到星期天你最不喜欢哪一天？"
"This question is a bit difficult because I am quite happy every day. If I had to say, I don't like Saturday because I have a lot of work on Saturday.","这个问题有点难，因为我每天都挺开心的。如果一定要说的话，我不喜欢星期六，因为星期六我的工作特别多。"
"What do you like to eat?","你喜欢吃什么？"
"I like to eat Chinese food, very spicy Chinese food.","我喜欢吃中国菜，很辣的中国菜。"
"Is there anything you don't eat?","你有什么不吃的东西吗？"
"I don't eat mushrooms.","我不吃蘑菇。"
"Do you cook?","你会做饭吗？"
"I can cook, but I don't cook often.","我会做饭，但是我不经常做饭。"
"Have you been to China?","你去过中国吗？"
"I have never been to China.","我没去过中国。"
"Do you have any Chinese friends?","你有中国朋友吗？"
"I don't have any Chinese friends.","我没有中国朋友。"
"What do you think of Chinese food?","你觉得中国菜怎么样？"
"I really like Chinese food. I think I have a 'Chinese stomach'.","我非常喜欢中国菜。我觉得我有一个中国胃。"
"Do you have a pet? What is its name?","你有宠物吗？他叫什么名字？"
"I don't have a pet. I had a dog when I was little, his name was Wang Wang.","我没有宠物。小时候我有一只狗，他叫旺旺。"
"Have you seen any interesting movies or TV shows recently?","最近你看了什么有意思的电影或者电视剧吗？"
"Last weekend I watched a Thai movie, it was a horror film.","上个周末我看了一个泰国电影，它是一个恐怖片。"
"What book are you reading recently?","最近你在看什么书？"
"I recently finished a book called 'Lessons in Chemistry'.","最近我看完了叫lessons in chemistry。"
"What kind of music do you like?","你喜欢什么音乐？"
"I like electronic music, rock music, and I also like pop music.","我喜欢电子音乐、摇滚音乐，我也喜欢流行音乐。"
"Do you like to dance?","你喜欢跳舞吗？"
"I don't like to dance.","不喜欢跳舞。"
"Do you go to the gym often?","你常常去健身房吗？"
"Yes, I go to the gym twice a week.","对，我一个星期去两次健身房。"
"What news have you been following recently?","你最近在看什么新闻？"
"Recently, I have been watching the news about Israel.","最近我都在看以色列的新闻。"
"What time do you usually get up?","你一般几点起床？"
"I get up very early every day, usually at 5 o'clock.","我每天起床起得都很早，一般我五点起床。"
"What time do you usually get off work?","你一般几点下班？"
"My evening group class usually ends at 9:30, so I get off work at 9:30. But actually, I am a freelancer, so you can say I finish work at 9:30.","我晚上的小组课一般是9点半下课，所以我九点半下班。但是其实我是自由职业者，所以你可以说我9点半结束工作。"
"What kind of people do you like to make friends with?","你喜欢跟什么样的人交朋友？"
"I like to make friends with sincere and interesting people.","我喜欢和真诚有趣的人交朋友。"
"Who is your best friend?","你最好的朋友是谁？"
"My best friend is my college classmate. He is in China now.","我最好的朋友是我的大学同学，他现在在中国。"
"How did you meet him?","你是怎么认识他的？"
"This is a very interesting story. In college, I met a girl who was deaf. I wanted to help her, so I sold my old clothes and books at school. I knocked on every dorm room door, and that's how I met my friend.","这是一个很有意思的故事。大学的时候我认识了一个小女孩，这个小女孩他的耳朵听不见。我很想帮他，所以我就把我家里的旧衣服、旧杂志、旧书拿到学校去卖，然后我就敲每一个宿舍的门，然后我的朋友就开门，然后我就跟他交流，跟他聊天，然后我就认识了他。"
"What apps do you use often?","你常用什么APP？"
"Besides work apps, the apps I use often are Weibo and Xiaohongshu.","除了工作的APP以外，我经常用的APP是微博还有小红书。"
"What is one thing you have learned recently?","你最近学到的一件事是什么？"
"If you want to run well and far, you shouldn't run every day.","如果你想跑步跑得很好，跑得很远，你就不要每天跑步。"
"Are you an introvert or an extrovert?","你是一个内向的人还是外向的人？"
"I am an introvert.","我是一个内向的人。"
"Do you like adventures?","你喜欢冒险吗？"
"When I was younger, I liked adventures more. Now I don't like them as much.","我更年轻的时候比较喜欢冒险，现在不太喜欢冒险。"
"Have you traveled abroad this year?","今年你去了外国旅行吗？"
"This year I went to the United States and Singapore.","今年我去了美国和新加坡。"
"What do you like to do when you travel?","旅行的时候你喜欢做什么？"
"When I travel, I like to run. I like to go to different places and look around while I run.","旅行的时候我喜欢跑步，我喜欢去不一样的地方一边跑一边看一看这个地方。"
"Do you like going to the beach?","你喜欢去海边吗？"
"I actually prefer mountains. I like to go hiking, but the beach is also okay.","我其实不太喜欢，我更喜欢山，我喜欢去爬山，但是海边也可以。"
"If you didn't live in your current country, where would you want to live?","如果你不住在现在的国家，你想住在哪里？"
"Maybe Taiwan. We all speak Chinese there, and it has a lot of natural scenery and delicious food.","可能是台湾，因为在台湾我们都说中文，台湾有很多的自然风景，台湾也有很多美食。"
"When is your birthday?","你的生日是几月几号？"
"What are your plans for Saturday?","星期六你有什么打算？"
"Do you have any plans for tonight?","今天晚上你有什么打算吗？"
"I like chatting with you guys.","我喜欢和你们一起聊天。"
"Why don't we go together?","我们为什么不一起去？"
"If you don't have money, then just find a job.","你没有钱就找一个工作啊。"
"I still don't know what your name is.","我还不知道你叫什么名字。"
"It's 11 o'clock and you're still not going to sleep.","11点了，还不去睡觉啊。"
"They have all finished their homework.","他们都做完作业了。"
"You still haven't finished using the bathroom.","你还没有上完厕所啊。"
"Finish it before Friday.","星期五以前做完吧。"
"They haven't finished drinking yet.","他们还没喝完酒。"
"This bar has very good business.","这个酒吧生意很好。"
"She went to work the day after giving birth.","她生孩子的第二天就去工作了。"
"The doctor said I can't exercise.","医生说我不可以运动。"
"Can you give me five yuan?","你可以给我五块钱吗？"
"I forgot his birthday.","我忘了他的生日。"
"I studied French for a few days, but now I've forgotten it all.","我学了几天法语，但是现在我都忘了。"
"When do you plan to go to China?","你打算什么时候去中国？"
"He found a new job last month.","他上个月找了一个新工作。"
"I made a few new friends last year.","我去年认识了几个新朋友。"
"Next Saturday is my birthday.","下个星期六是我的生日。"
"My daughter will start university next month.","我女儿下个月读大学。"
"How have you been lately?","你最近怎么样？"
"I watched a movie recently.","最近我看了一个电影。"
"I heard that you're looking for a job recently.","我听说你最近在找工作。"
"The food he cooks is delicious.","他做的饭很好吃。"
"Recently I've been very busy and don't have time.","最近我很忙，没有空。"
"I will be free after 10, you can come at 10:30.","我10点以后有空，你10点半来吧。"
"He goes to the airport to pick up his girlfriend.","他去机场接女朋友。"
"I was not available last time, but I can go this time.","上次我没有空，这次我可以去。"
"When are you coming next time?","你下次什么时候来？"
"He treats every time.","他每次都请客。"
"Have you really not heard about it?","你真的没有听说吗？"
"I think every child is very cute.","我觉得每个孩子都很可爱。"
"He used to study in the United States, now he has returned to China.","他以前在美国读书，现在他回中国了。"
"How long have you been in China?","你来中国多长时间了？"
"How long do you exercise each time?","每次你运动多长时间？"
"I've been studying Chinese for about four months.","我学了大概四个月中文了。"
"How many hours do you sleep each day?","你每天睡几个小时？"
"I worked a total of 20 days this month.","这个月我一共工作了20天。"
"I have four days of vacation next month.","下个月我有四天假期。"
"I traveled alone in China for three months.","我一个人在中国旅游了三个月。"
"How many hours does it take to fly from China to the United States?","从中国到美国坐飞机要用几个小时？"
"I'm so happy that you came to visit.","你来看我，我太高兴了。"
"Don't get too busy.","你别太忙了啊。"
"It's very late, stop chatting.","很晚了，别聊天了。"
"My younger sister bought me a gift.","我的妹妹给我买了一个礼物。"
"Who gave you this gift?","这是谁给你的礼物？"
"How's this movie?","这个电影怎么样？"
"How was your trip? Was it fun?","你去旅游怎么样啊？好玩吗？"
"This is the biggest city in the United States.","这是美国最大的城市。"
"I want to travel to China again.","我还想再去中国旅游。"
"Can you say it again?","你可以再说一次吗？"
"Last night I only slept for 3 hours.","昨天晚上我只睡了三个小时。"
"These two weeks I have more work.","这两个星期我的工作比较多。"
"This company is relatively small, it only has eight employees.","这个公司比较小，只有八个职员。"
"She is both smart and beautiful.","她又聪明又漂亮。"
"Let's go eat Japanese food.","我们去吃日本菜吧。"
"I think Chinese characters are both beautiful and fun.","我觉得汉字又好看又好玩。"
"I prefer going to the office at 10 because there are fewer cars at that time.","我比较喜欢十点去公司，因为这个时候车比较少。"
"I prefer eating sweet things.","我比较喜欢吃甜的东西。"
"How do you write this character?","这个字怎么写？"
"I don't want to go, you can go by yourself.","我不想去，你自己去吧。"
"I often ask myself this question.","我常常问自己这个问题。"
"I used to eat there a lot.","我以前常常去那里吃饭。"
"My dad taught me how to drive.","我的爸爸教我开车。"
"Let's practice speaking.","我们来练习口语吧。"
"His speaking is better.","他的口语比较好。"
"They met online.","他们是在网上认识的。"
"This is the website I made myself.","这是我自己做的网站。"
"Everyone is the same.","每个人都一样。"
"He and his girlfriend are so different.","他和他的女朋友太不一样了。"
"This is not my native language.","这不是我的母语。"
"Can you introduce yourself?","你可以介绍一下自己吗？"
"Go check if he is in the room.","你去看一下他在不在房间。"
"I made this video myself.","这个视频是我自己做的。"
"Can you send me this video later?","你等一下给我发这个视频好吗？"
"You don't know Chinese characters? Then I will teach you.","你不认识汉字吗？那我教你。"
"Don't send me emails anymore.","你别再给我发邮件了。"
"I want to go to Beijing to travel, when do you think is the best time?","我要去北京旅游，你觉得什么时候最好？"
"September is the best time to travel to Beijing.","九月去北京旅游最好。"
"Why?","为什么？"
"In September, the weather in Beijing is neither cold nor hot.","九月的北京天气不冷也不热。"
"Okay, I will go in September.","好的，我九月去。"
"Let's go together.","我们一起去吧。"
"I can't go.","我不能去。"
"Why can't you go?","为什么不能去？"
"I am going to Spain in September.","我九月要去西班牙。"
"What are you going to do in Spain?","你去西班牙做什么？"
"Go to work.","去工作。"
"When will you be back?","什么时候回来？"
"I will be back in December.","12月回来。"
"Do you like sports?","你喜欢运动吗？"
"Yes, I do.","喜欢啊。"
"What is your favorite sport?","你最喜欢什么运动？"
"I like playing football the most.","我最喜欢踢足球。"
"I also like playing football the most.","我也最喜欢踢足球。"
"That's great. Shall we go play football together this afternoon?","太好了。下午我们要不要一起去踢足球？"
"Sorry, I can't go.","对不起，我不能去。"
"Why?","为什么？"
"I need to buy a few new chairs this afternoon.","下午我要买几个新椅子。"
"Okay, I also need to buy a new football this afternoon.","好的，我下午也要去买一个新的足球。"
"How about we go play football tomorrow afternoon?","我们明天下午去踢足球怎么样？"
"Okay. I'm going to school this afternoon and will be back at three.","好啊。我下午去学校三点回来。"
"What time do you think is the best for us to play football?","你觉得我们几点来踢足球最好？"
"I think 4 o'clock in the afternoon is the best.","我觉得下午4点最好。"
"After playing football, let's go have dinner together at 6.","踢完足球我们6点一起去吃饭吧。"
"Okay.","好啊。"
"Dad is back by car.","爸爸开车回来了。"
"Yes, he bought quite a few new chairs.","是啊，他买了不少新椅子。"
"Look, there is a cat under the chair.","你看，椅子下面有一个猫。"
"The cat belongs to a friend.","猫是朋友的。"
"What is its name?","他叫什么名字？"
"Its name is Huahua.","他叫花花。"
"How old is Huahua?","花花多大了？"
"It's a little over seven months old.","他七个多月。"
"It's so beautiful.","他太漂亮了。"
"Where do you think it is the most beautiful?","你觉得他哪儿最漂亮？"
"I think its eyes are the most beautiful.","我觉得他的眼睛最漂亮。"
"I also like its eyes the most.","我也最喜欢他的眼睛。"
"How do you come to school every day?","你每天怎么来学校？"
"I take a taxi to school with Wang Fang every day.","我每天和王方一起坐出租车来学校。"
"Where is Wang Fang?","王方在哪？"
"He didn't come today.","他今天没来。"
"Is he sick?","他是不是生病了？"
"Yes, he is sick today.","是的，他今天生病了。"
"Do you rarely get sick?","你是不是很少生病？"
"Yes, I really like sports.","是啊，我很喜欢运动。"
"I like playing football, but I go for a run every morning.","我喜欢踢足球，但是我每天早上都去跑步。"
"What time do you get up every day?","你每天几点起床？"
"I get up at 6 o'clock.","我6点起床。"
"That's too early.","太早了。"
"Where is David?","大卫在哪？"
"He didn't come.","他没来。"
"Why?","为什么？"
"He is sick and in the hospital.","他生病住院了。"
"When was he hospitalized?","他是什么时候住院的？"
"He was hospitalized on Monday.","他是星期一住院的。"
"How is his health now?","他现在身体怎么样了？"
"He takes medicine every day and is much better now.","他每天都吃药，现在好多了。"
"When can he be discharged from the hospital?","他什么时候能出院？"
"The doctor said he can be discharged on Saturday.","医生说他星期六能出院。"
"You are not sick, are you?","你没生病吧？"
"I am not sick.","我没生病。"
"I go for a run every morning and rarely get sick.","我每天早上跑步，很少生病。"
"What time do you get up every day?","你每天几点起床？"
"I get up at 6 o'clock.","6点起床。"
"What is Dr. Wang's son's name?","王医生的儿子叫什么名字？"
"His name is Martin.","他叫马丁。"
"How old is Martin this year?","马丁今年多大？"
"Over 20 years old.","20多岁。"
"How tall is he?","他多高？"
"Over 1.8 meters.","一米8几。"
"How do you know so much?","你怎么知道这么多啊？"
"He is my friend.","他是我的朋友。"
"He rarely gets sick, does he like sports?","他很少生病，是不是喜欢运动？"
"Yes, he goes for a run every morning.","是啊，他每天早上都去跑步。"
"What about you? Do you also go for a run every day?","你呢？你也每天去跑步吗？"
"I only go for a run on Saturdays and Sundays.","我只在星期六和星期天去跑步。"
"Is Teacher Liu at home?","刘老师在家吗？"
"He is not here, he went to work.","他不在，去工作了。"
"He doesn't even rest on Saturdays?","他星期六也不休息呀？"
"Yes, he has been very busy these few days and has no time to rest.","是啊，他这几天很忙，没有时间休息。"
"That must be very tiring.","那会很累吧。"
"He is very tired every day when he comes back.","他每天回来都很累。"
"How is his health now?","他现在身体怎么样？"
"He rarely gets sick and goes for a run every morning.","他很少生病，每天早上都出去跑步。"
"Are you guys going to Beijing next Friday?","你们下星期五去北京是不是？"
"Yes, my daughter works in Beijing, we are going to see her.","是啊，我女儿在北京工作，我们去看看他。"
"How is the weather in Beijing?","北京的天气怎么样？"
"The weather is very good, neither cold nor hot.","天气很好，不冷也不热。"
"Is this book yours?","这本书是你的吗？"
"It's mine.","是我的。"
"Is this watch yours?","这块手表是你的吗？"
"No, it's my dad's.","不是我的，是我爸爸的。"
"How much did it cost?","多少钱买的？"
"Over 1000 yuan.","1000多块。"
"Your dad's watch is really beautiful.","你爸爸的手表真漂亮。"
"Yes, I like it very much too.","是啊，我也很喜欢。"
"Do you have a watch too?","你也有手表吗？"
"I have one too.","我也有。"
"How much did your watch cost?","你的手表多少钱？"
"20 yuan.","20块。"
"Did you read the newspaper today?","你今天看报纸了吗？"
"No. Is this this morning's newspaper?","没有。这是今天早上的报纸吗？"
"No, it's yesterday's.","不是，是昨天的。"
"When will today's newspaper be delivered?","今天的报纸什么时候送来？"
"Around 9 o'clock.","9点吧。"
"Listen, who's here?","你听，谁来了？"
"Let me see, is it the person who delivers the newspaper?","我看一下，是不是送报纸的来了？"
"No, it's the person who delivers the milk.","不是，是送牛奶的来了。"
"Do you drink milk every day?","你每天都喝牛奶吗？"
"Yes, my daughter and I both drink it.","是啊，我和我女儿都喝。"
"Have you seen my cup?","你看见我的杯子了吗？"
"I haven't seen it. Is it on the table?","我没看见。桌子上​​有吗？"
"There are a few cups, which one is yours?","有几个杯子？哪个是你的？"
"The one on the left is mine.","左边那个杯子是我的。"
"Is it this pink cup?","这个粉色的杯子吗？"
"No, is it the red one next to it?","不是，旁边红色的杯子吗？"
"It's mine.","是我的。"
"This cup is very beautiful.","这个杯子很漂亮。"
"I bought it yesterday.","是我昨天买的。"
"How much did it cost?","多少钱买的？"
"18 yuan.","18块钱。"
"Here you are.","给你。"
"Thank you.","谢谢。"
