Syllable,Tone,FullPinyin,Exists,Character(s),Meaning
hao,1,hao1,Yes,,to weed  / to grip or clutch; celery wormwood (Artemisia carvifolia)  / to give off  / to weed; sound  / noise
hao,2,hao2,Yes,,roar  / cry  / CL: 個｜个; grand  / heroic; trench
hao,3,hao3,Yes,,good  / appropriate; proper  / all right!  / (before a verb) easy to  / (before a verb) good to  / (before an adjective for exclamatory effect) so  / (verb complement indicating completion)  / (of two people) close; on intimate terms  / (after a personal pronoun) hello; ancient place name  / surname Hao
hao,4,hao4,Yes,,ordinal number  / day of a month  / mark  / sign  / business establishment  / size  / ship suffix  / horn (wind instrument)  / bugle call  / assumed name  / to take a pulse  / classifier used to indicate number of people; to be fond of; to have a tendency to; to be prone to; to waste  / to spend  / to consume  / to squander  / news  / (coll.) to delay  / to dilly-dally
he,1,he1,Yes,,to drink  / variant of 嗬; (bound form) to scold  / to expel breath  / (onom.) laughter (usu. reduplicated)  / interjection of surprise; to scold
he,2,he2,Yes,,(joining two nouns) and; together with; with (Taiwan pr. [han4])  / (math.) sum  / to make peace  / (sports) to draw; to tie  / (bound form) harmonious  / (bound form) Japan; Japanese; old variant of 和; (literary) harmonious (variant of 和)
he,3,he3,No,,
he,4,he4,Yes,,to compose a poem in reply (to sb&#039;s poem) using the same rhyme sequence  / to join in the singing  / to chime in with others; surname He; to congratulate
hei,1,hei1,Yes,,black  / dark  / sinister  / secret  / shady  / illegal  / to hide (sth) away  / to vilify  / (loanword) to hack (computing); hey; abbr. for Heilongjiang province 黑龍江｜黑龙江
hei,2,hei2,No,,
hei,3,hei3,Yes,,"&quot;wok hei&quot;, a distinctive smoky, charred, and slightly caramelized flavor imparted to food cooked in a wok over a high flame (orthographic borrowing from Cantonese, Jyutping: wok6 hei3)"
hei,4,hei4,No,,
hen,1,hen1,No,,
hen,2,hen2,Yes,,scar  / traces; to pull  / to drag  / to stop
hen,3,hen3,Yes,,"very; quite  / (also, often used before an adjective without intensifying its meaning, i.e. as a meaningless syntactic element); ruthless; fierce; ferocious  / determined; resolute  / to harden (one&#039;s heart)  / old variant of 很; to act contrary to"
hen,4,hen4,Yes,,to hate  / to regret
heng,1,heng1,Yes,,to groan  / to snort  / to hum  / to croon  / humph!; prosperous  / henry (unit of inductance); fat  / bloated
heng,2,heng2,Yes,,"horizontal  / across  / crosswise  / horizontal stroke (in Chinese characters)  / to place (sth) flat (on a surface)  / to cross (a river, etc)  / in a jumble  / chaotic  / (in fixed expressions) harsh and unreasonable  / violent; used in 道行; to weigh  / weight  / measure"
heng,3,heng3,No,,
heng,4,heng4,Yes,,harsh and unreasonable  / unexpected; (used in place names)  / also pr. [feng1]
hong,1,hong1,Yes,,explosion  / bang  / boom  / rumble  / to attack  / to shoo away  / to expel; roar of laughter (onom.)  / hubbub  / to roar (as a crowd); to bake  / to heat by fire  / to set off by contrast
hong,2,hong2,Yes,,red  / popular  / revolutionary  / bonus; great  / magnificent  / macro (computing)  / macro-; surname Hong
hong,3,hong3,Yes,,"to deceive  / to coax  / to amuse (a child); used in the title of an ancient song, 囉嗊曲｜啰唝曲"
hong,4,hong4,Yes,,tumult  / uproar  / commotion  / disturbance; variant of 鬨｜哄; vast  / infinite
hou,1,hou1,Yes,,to snore  / thirsty from excessively salty or sweet food  / (dialect) very  / extremely
hou,2,hou2,Yes,,"monkey  / CL: 隻｜只; surname Hou; marquis, second of the five orders of ancient Chinese nobility 五等爵位  / nobleman; high official"
hou,3,hou3,Yes,,to roar  / to howl  / to shriek  / roar or howl of an animal  / bellow of rage; roar or howl of an animal  / bellow of rage; mythical man-eating creature resembling a dog
hou,4,hou4,Yes,,empress  / queen  / (archaic) monarch  / ruler; back  / behind  / rear  / afterwards  / after  / later  / post-; thick  / deep or profound  / kind  / generous  / rich or strong in flavor  / to favor  / to stress
hu,1,hu1,Yes,,surname Hu  / name of a river; to smear; to daub; to cover (a surface with sth sticky or paste-like)  / Taiwan pr. [hu2]; surname Hu
hu,2,hu2,Yes,,"lake  / CL: 個｜个, 片; pot  / classifier for bottled liquid; to paste; to glue  / blurry; unclear; muddled  / (esp. of food) scorched; burnt  / paste; mush; thick gruel"
hu,3,hu3,Yes,,tiger  / CL: 隻｜只; bank of a river; a tiger&#039;s roar  / to scare  / to intimidate  / (coll.) to fool  / to bluff
hu,4,hu4,Yes,,a household  / door  / family; to protect; short name for Shanghai
hua,1,hua1,Yes,,"flower  / blossom  / CL: 朵, 支, 束, 把, 盆, 簇 / fancy pattern  / florid  / to spend (money, time)  / (coll.) lecherous  / lustful; old variant of 花; variant of 花  / flower  / blossom  / also pr. [wei3]"
hua,2,hua2,Yes,,to row  / to paddle  / profitable  / worth (the effort)  / it pays (to do sth); to cut  / to slash  / to scratch (cut into the surface of sth)  / to strike (a match); to slip; to slide  / slippery; smooth  / sly; slippery; not to be trusted
hua,3,hua3,No,,
hua,4,hua4,Yes,,"dialect  / language  / spoken words  / speech  / talk  / words  / conversation  / what sb said  / CL: 種｜种, 席, 句, 口, 番; old variant of 話｜话; to draw; to paint  / picture; painting (CL:幅,張｜张)  / to draw (a line) (variant of 劃｜划)  / stroke of a Chinese character (variant of 劃｜划)  / (calligraphy) horizontal stroke (variant of 劃｜划)"
huai,1,huai1,No,,
huai,2,huai2,Yes,,Chinese scholar tree (Sophora japonica)  / Japanese pagoda tree; surname Huai; bosom  / heart  / mind  / to think of  / to harbor in one&#039;s mind  / to conceive (a child)
huai,3,huai3,No,,
huai,4,huai4,Yes,,bad  / spoiled  / broken  / to break down  / (suffix) to the utmost; Japanese variant of 壞｜坏
huan,1,huan1,Yes,,joyous  / happy  / pleased; variant of 歡｜欢; hubbub  / clamor  / variant of 歡｜欢
huan,2,huan2,Yes,,to pay back  / to return; ring  / hoop  / loop  / (chain) link  / classifier for scores in archery etc  / to surround  / to encircle  / to hem in; surname Huan
huan,3,huan3,Yes,,slow  / unhurried  / sluggish  / gradual  / not tense  / relaxed  / to postpone  / to defer  / to stall  / to stave off  / to revive  / to recuperate; good-looking  / cute
huan,4,huan4,Yes,,to exchange  / to change (clothes etc)  / to substitute  / to switch  / to convert (currency); to suffer (from illness)  / to contract (a disease)  / misfortune  / trouble  / danger  / worry; fantasy
huang,1,huang1,Yes,,to get panicky; to lose one&#039;s head  / (coll.) (after 得) unbearably; terribly; desolate  / shortage  / scarce  / out of practice  / absurd  / uncultivated  / to neglect; a watery waste  / to reach
huang,2,huang2,Yes,,yellow  / pornographic  / to fall through; surname Huang or Hwang; surname Huang
huang,3,huang3,Yes,,to dazzle  / to flash past; variant of 晃; sound of a bell  / small bell
huang,4,huang4,Yes,,to sway  / to shake  / to wander about; (literary) (of the face) pale due to qi and blood deficiency
hui,1,hui1,Yes,,to wave  / to brandish  / to command  / to conduct  / to scatter  / to disperse; ash  / dust  / lime  / gray  / discouraged; dejected; sunshine  / to shine upon  / variant of 輝｜辉
hui,2,hui2,Yes,,to circle  / to go back  / to turn around  / to answer  / to return  / to revolve  / Hui ethnic group (Chinese Muslims)  / time  / classifier for acts of a play  / section or chapter (of a classic book); to curve  / to return  / to revolve; variant of 迴｜回
hui,3,hui3,Yes,,to destroy; to ruin  / to defame; to slander; to destroy by fire; variant of 毀｜毁  / to defame  / to slander
hui,4,hui4,Yes,,can; to have the skill; to know how to  / to be likely to; to be sure to  / to meet; to get together  / meeting; gathering  / (suffix) union; group; association  / (bound form) a moment (Taiwan pr. [hui3]); to remit  / to converge (of rivers)  / to exchange; class  / collection
hun,1,hun1,Yes,,"muddle-headed  / twilight  / to faint  / to lose consciousness; old variant of 昏; strong-smelling vegetable (garlic etc)  / non-vegetarian food (meat, fish etc)  / vulgar  / obscene"
hun,2,hun2,Yes,,soul; spirit; immortal soul (that can be detached from the body); old variant of 魂; muddy; turbid (variant of 渾｜浑)  / brainless; foolish (variant of 渾｜浑)  / Taiwan pr. [hun4]
hun,3,hun3,No,,
hun,4,hun4,Yes,,to mix  / to mingle  / muddled  / to drift along  / to muddle along  / to pass for  / to get along with sb  / thoughtless  / reckless; confused  / dishonor; privy  / animal pen  / muddy  / disordered  / to disturb
huo,1,huo1,Yes,,opening  / stake all  / sacrifice  / crack  / slit; (coll.) to slit with a knife  / (variant of 耠) hoe  / to loosen soil with a hoe; to shovel
huo,2,huo2,Yes,,"to live  / alive  / living  / work  / workmanship; to combine a powdery substance (flour, plaster etc) with water  / Taiwan pr. [huo4]; meet"
huo,3,huo3,Yes,,fire  / urgent  / ammunition  / fiery or flaming  / internal heat (Chinese medicine)  / hot (popular)  / classifier for military units (old)  / Kangxi radical 86; companion  / partner  / group  / classifier for groups of people  / to combine  / together; meals (abbr. for 伙食)  / variant of 夥｜伙
huo,4,huo4,Yes,,maybe  / perhaps  / might  / possibly  / or; (literary) to catch; to capture  / (literary) to get; to obtain; to win; (bound form) to reap; to harvest
ji,1,ji1,Yes,,fowl  / chicken  / CL: 隻｜只 / (slang) prostitute; to amass; to accumulate; to store up  / (math.) product (the result of multiplication)  / (TCM) constipation; indigestion; small table
ji,2,ji2,Yes,,"level  / grade  / rank  / step (of stairs)  / CL: 個｜个 / classifier: step, level; urgent  / pressing  / rapid  / hurried  / worried  / to make (sb) anxious; extremely  / pole (geography, physics)  / utmost  / top"
ji,3,ji3,Yes,,how much  / how many  / several  / a few; to crowd in  / to cram in  / to force others aside  / to press  / to squeeze  / to find (time in one&#039;s busy schedule); surname Ji  / also pr. [Ji4]
ji,4,ji4,Yes,,"to record  / to note  / to memorize  / to remember  / mark  / sign  / classifier for blows, kicks, shots; to tie  / to fasten  / to button up; to entrust; to place in sb&#039;s care  / (bound form) to depend on; to attach oneself to; to reside temporarily  / (bound form) foster (as in 寄女 foster daughter)  / to send by post; to mail"
jia,1,jia1,No,,
jia,2,jia2,Yes,,double-layered (quilt); lined (garment); variant of 唊; (old) to talk recklessly  / to talk nonsense  / talkative
jia,3,jia3,Yes,,"fake  / false  / artificial  / to borrow  / if  / suppose; variant of 假  / to borrow; first of the ten Heavenly Stems 十天干  / (used for an unspecified person or thing)  / first (in a list, as a party to a contract etc)  / letter &quot;A&quot; or roman &quot;I&quot; in list &quot;A, B, C&quot;, or &quot;I, II, III&quot; etc  / armor plating  / shell or carapace  / (of the fingers or toes) nail  / bladed leather or metal armor (old)  / ranking system used in the Imperial examinations (old)  / civil administration unit in the baojia 保甲 system (old)  / ancient Chinese compass point: 75°"
jia,4,jia4,Yes,,"to support  / frame  / rack  / framework  / classifier for planes, large vehicles, radios etc; price  / value  / (chemistry) valence; (of a woman) to marry  / to marry off a daughter  / to shift (blame etc)"
jian,1,jian1,Yes,,"between  / among  / within a definite time or space  / room  / section of a room or lateral space between two pairs of pillars  / classifier for rooms; shoulder  / to shoulder (responsibilities etc); pointed; tapering; sharp  / (of a sound) shrill; piercing  / (of one&#039;s hearing, sight etc) sharp; acute; keen  / to make (one&#039;s voice) shrill  / sharp point; tip  / the best of sth; the cream of the crop"
jian,2,jian2,No,,
jian,3,jian3,No,,
jian,4,jian4,Yes,,"to see  / to meet  / to appear (to be sth)  / to interview  / opinion  / view; item  / component  / classifier for events, things, clothes etc; to establish  / to found  / to set up  / to build  / to construct"
jiang,1,jiang1,Yes,,"river  / CL: 條｜条, 道; will  / shall  / to use  / to take  / to checkmate  / just a short while ago  / (introduces object of main verb, used in the same way as 把); ginger"
jiang,2,jiang2,No,,
jiang,3,jiang3,Yes,,to speak  / to explain  / to negotiate  / to emphasize  / to be particular about  / as far as sth is concerned  / speech  / lecture; prize; award; bonus; reward  / (bound form) to encourage; to commend; to praise  / to award; to give as a reward; surname Jiang  / Chiang Kai-shek 蔣介石｜蒋介石
jiang,4,jiang4,Yes,,"to drop  / to fall  / to come down  / to descend; thick paste of fermented soybean  / marinated in soy paste  / paste  / jam; (bound form) a general  / (literary) to command; to lead  / (Chinese chess) general (on the black side, equivalent to a king in Western chess)"
jiao,1,jiao1,No,,
jiao,2,jiao2,Yes,,to chew  / also pr. [jue2]; used in 矯情｜矫情
jiao,3,jiao3,Yes,,"angle  / corner  / horn  / horn-shaped  / unit of money equal to 0.1 yuan, or 10 cents (a dime)  / CL: 個｜个; foot  / leg (of an animal or an object)  / base (of an object)  / CL: 雙｜双, 隻｜只 / classifier for kicks; to hand in; to hand over; to pay  / to capture (weapons); to seize"
jiao,4,jiao4,Yes,,to shout  / to call  / to order  / to ask  / to be called  / by (indicates agent in the passive mood); variant of 叫; (bound form) to compare  / (literary) to dispute  / compared to  / (before an adjective) relatively; comparatively; rather  / also pr. [jiao3]
jie,1,jie1,Yes,,street  / CL: 條｜条; to receive  / to answer (the phone)  / to meet or welcome sb  / to connect  / to catch  / to join  / to extend  / to take one&#039;s turn on duty  / to take over for sb; to take the lid off  / to expose  / to unmask
jie,2,jie2,Yes,,"joint; node  / (bound form) section; segment  / solar term (one of the 24 divisions of the year in the traditional Chinese calendar)  / seasonal festival  / (bound form) to economize; to save  / (bound form) moral integrity; chastity  / classifier for segments: lessons, train wagons, biblical verses etc  / knot (nautical miles per hour); knot  / sturdy  / bond  / to tie  / to bind  / to check out (of a hotel); to cut off (a length)  / to stop  / to intercept  / section  / chunk  / length"
jie,3,jie3,Yes,,older sister; to divide  / to break up  / to split  / to separate  / to dissolve  / to solve  / to melt  / to remove  / to untie  / to loosen  / to open  / to emancipate  / to explain  / to understand  / to know  / a solution  / a dissection; mother
jie,4,jie4,Yes,,"to borrow  / (used in combination with 給｜给 or 出 etc) to lend  / to make use of; to avail oneself of  / (sometimes followed by 著｜着) by; with; variant of 借; to arrive at (place or time)  / period  / to become due  / classifier for events, meetings, elections, sporting fixtures, years (of graduation)"
jin,1,jin1,Yes,,"catty  / (PRC) weight equal to 500 g  / (Tw) weight equal to 600 g  / (HK, Malaysia, Singapore) slightly over 604 g; gold  / chemical element Au  / generic term for lustrous and ductile metals  / money  / golden  / highly respected  / one of the eight categories of ancient musical instruments 八音; muscle  / tendon  / veins visible under the skin  / sth resembling tendons or veins (e.g. fiber in a vegetable)"
jin,2,jin2,No,,
jin,3,jin3,Yes,,barely  / only  / merely; tight  / strict  / close at hand  / near  / urgent  / tense  / hard up  / short of money  / to tighten; to the greatest extent  / (when used before a noun of location) furthest or extreme  / to be within the limits of  / to give priority to
jin,4,jin4,Yes,,to go forward  / to advance  / to go in  / to enter  / to put in  / to submit  / to take in  / to admit  / (math.) base of a number system  / classifier for sections in a building or residential compound; near  / close to  / approximately; to use up  / to exhaust  / to end  / to finish  / to the utmost  / exhausted  / finished  / to the limit (of sth)  / all  / entirely
jing,1,jing1,Yes,,essence  / extract  / vitality  / energy  / semen  / sperm  / mythical goblin spirit  / highly perfected  / elite  / the pick of sth  / proficient (refined ability)  / extremely (fine)  / selected rice (archaic); classics  / sacred book  / scripture  / to pass through  / to undergo  / to bear  / to endure  / warp (textile)  / longitude  / menstruation  / channel (TCM)  / abbr. for economics 經濟｜经济; to startle  / to be frightened  / to be scared  / alarm
jing,2,jing2,No,,
jing,3,jing3,Yes,,(bound form) scenery  / circumstance  / situation  / scene (of a play)  / (literary) sunlight; a well  / CL: 口 / neat  / orderly; to alert  / to warn  / police
jing,4,jing4,Yes,,"still  / calm  / quiet  / not moving; clean  / completely  / only  / net (income, exports etc)  / (Chinese opera) painted face male role; variant of 淨｜净"
jiong,1,jiong1,No,,
jiong,2,jiong2,No,,
jiong,3,jiong3,Yes,,"velvetleaf (Abutilon avicennae), plant of the jute family  / bright; fire; bright  / clear"
jiong,4,jiong4,No,,
jiu,1,jiu1,No,,
jiu,2,jiu2,No,,
jiu,3,jiu3,Yes,,"nine  / 9; wine (esp. rice wine)  / liquor  / spirits  / alcoholic beverage  / CL: 杯, 瓶, 罐, 桶, 缸; (of a period of time) long"
jiu,4,jiu4,Yes,,(after a suppositional clause) in that case; then  / (after a clause of action) as soon as; immediately after  / (same as 就是) merely; nothing else but; simply; just; precisely; exactly  / only; as little as  / as much as; as many as  / to approach; to move towards  / to undertake; to engage in  / (often followed by 著｜着) taking advantage of  / (of food) to go with  / with regard to; concerning  / (pattern: 就 ... 也 ...) even if ... still ...  / (pattern: 不 ... 就 ...) if not ... then must be ...; old  / opposite: new 新  / former  / worn (with age); to save  / to assist  / to rescue
ju,1,ju1,Yes,,war chariot (archaic)  / rook (in Chinese chess)  / rook (in chess); used in 拮据; surname Ju
ju,2,ju2,Yes,,"narrow; office  / situation  / classifier for games: match, set, round etc; cramped; narrow"
ju,3,ju3,Yes,,to lift  / to hold up  / to cite  / to enumerate  / to act  / to raise  / to choose  / to elect  / act  / move  / deed; variant of 舉｜举; Salix multinervis
ju,4,ju4,Yes,,sentence  / clause  / phrase  / classifier for phrases or lines of verse; to assemble; to gather (transitive or intransitive)  / (chemistry) poly-; according to  / to act in accordance with  / to depend on  / to seize  / to occupy
juan,1,juan1,Yes,,to relinquish; to abandon  / to contribute; to donate  / (bound form) tax; levy; to confine  / to lock up  / to pen in; to deduct  / to show  / bright and clean  / glow-worm  / galleyworm  / millipede
juan,2,juan2,No,,
juan,3,juan3,No,,
juan,4,juan4,Yes,,"scroll  / book  / volume  / chapter  / examination paper  / classifier for books, paintings: volume, scroll; livestock enclosure; pen; fold; sty; tired; weary; fatigued"
jue,1,jue1,Yes,,(old) hemp sandals  / Taiwan pr. [jue2]; to pout  / (dialect) to scold; to break off  / to snap
jue,2,jue2,Yes,,to cut short  / extinct  / to disappear  / to vanish  / absolutely  / by no means; variant of 絕｜绝; surname Jue
jue,3,jue3,Yes,,see 尥蹶子
jue,4,jue4,Yes,,gruff; surly
jun,1,jun1,Yes,,30 catties  / great  / your (honorific); equal  / even  / all  / uniform; (bound form) army  / military
jun,2,jun2,No,,
jun,3,jun3,No,,
jun,4,jun4,Yes,,old variant of 俊; smart  / eminent  / handsome  / talented; variant of 俊
ka,1,ka1,Yes,,coffee  / class  / grade; (onom.) sound of coughing or vomiting
ka,2,ka2,No,,
ka,3,ka3,Yes,,"to stop  / to block  / (computing) (coll.) slow  / (loanword) card  / CL: 張｜张, 片 / truck (from &quot;car&quot;)  / calorie (abbr. for 卡路里)  / cassette; ancient name for an ethnic group in China; carbylamine  / isocyanide"
ka,4,ka4,No,,
kai,1,kai1,Yes,,"to open (transitive or intransitive)  / (of ships, vehicles, troops etc) to start  / to turn on; to put in operation; to operate; to run  / to boil  / to write out (a prescription, check, invoice etc)  / (directional complement) away; off  / carat (gold)  / abbr. for Kelvin, 開爾文｜开尔文  / abbr. for 開本｜开本, book format; to wipe; californium (chemistry)"
kai,2,kai2,No,,
kai,3,kai3,Yes,,surname Kai; (bound form) triumphal music  / (Tw) (coll.) generous with money; lavish in spending  / chi (Greek letter Χχ); dry terrain
kai,4,kai4,Yes,,anger; to cough; to burn  / to blaze
kan,1,kan1,No,,
kan,2,kan2,No,,
kan,3,kan3,Yes,,"to chop  / to cut down  / to throw sth at sb; pit  / threshold  / one of the Eight Trigrams 八卦, symbolizing water  / ☵; see 赤嵌樓｜赤嵌楼"
kan,4,kan4,Yes,,to see; to look at  / to read  / to watch  / to visit; to call on  / to consider; to regard as  / to look after  / to treat (a patient or illness)  / to depend on  / to feel (that)  / (after a verb) to give it a try  / to watch out for; surname Kan; to glance  / to peep
kang,1,kang1,Yes,,surname Kang; healthy  / peaceful  / abundant; used in 慷慨
kang,2,kang2,Yes,,"to carry on one&#039;s shoulder  / (fig.) to take on (a burden, duty etc)"
kang,3,kang3,No,,
kang,4,kang4,Yes,,to resist  / to fight  / to defy  / anti-; spouse  / big and tall  / strong  / robust  / upright and outspoken; kang (a heatable brick bed)  / to bake  / to dry by the heat of a fire
kao,1,kao1,Yes,,(literary) buttocks; rump; coccyx; sacrum
kao,2,kao2,No,,
kao,3,kao3,Yes,,to check  / to verify  / to test  / to examine  / to take an exam  / to take an entrance exam for  / deceased father; to beat  / to hit  / variant of 考  / to inspect  / to test  / to take an exam; to roast; to grill; to broil; to bake; to toast (bread)  / to warm oneself by a fire
kao,4,kao4,No,,
ke,1,ke1,Yes,,"branch of study  / administrative section  / division  / field  / branch  / stage directions  / family (taxonomy)  / rules  / laws  / to mete out (punishment)  / to levy (taxes etc)  / to fine sb  / CL: 個｜个; classifier for trees, cabbages, plants etc; classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
ke,2,ke2,Yes,,"cough; (coll.) shell (of an egg, nut, crab etc)  / case; casing; housing (of a machine or device); (used in bird names) throat"
ke,3,ke3,Yes,,thirsty; (prefix) can; may; able to; -able  / to approve; to permit  / to suit  / (particle used for emphasis) certainly; very  / but; however; used in 坎坷
ke,4,ke4,Yes,,"subject  / course  / CL: 門｜门 / class  / lesson  / CL: 堂, 節｜节 / to levy  / tax  / form of divination; to be able to  / to subdue  / to restrain  / to overcome  / gram  / Tibetan unit of land area, about 6 ares; variant of 克  / to subdue  / to overthrow  / to restrain"
ken,1,ken1,No,,
ken,2,ken2,No,,
ken,3,ken3,Yes,,old variant of 肯; to agree; to consent  / to be willing to; to gnaw  / to nibble  / to bite
ken,4,ken4,Yes,,side seam in an upper garment; to push down  / to make things difficult  / to take by force; rumbling of rolling stones
keng,1,keng1,Yes,,pit; hollow; depression  / (mining) pit; shaft; tunnel  / (literary) to bury alive  / (coll.) to cheat; to scam; to screw over; variant of 坑; (onom.) clang  / jingling of metals  / to strike
keng,2,keng2,No,,
keng,3,keng3,No,,
keng,4,keng4,No,,
kong,1,kong1,Yes,,empty  / air  / sky  / in vain; name of a mountain; simple-minded  / sincere
kong,2,kong2,No,,
kong,3,kong3,Yes,,surname Kong; hole  / CL: 個｜个 / classifier for cave dwellings; afraid  / frightened  / to fear
