"序号
No.","词
Word","拼音
Pinyin","词类
Parts of Speech","词译文
Meaning of the Word","例句
Example","例句拼音
Sentence Pinyin"
82,【去】,qù,v.,go; leave,我星期三～中国。,wǒ 星 期 sān qù 中 国 。
82,【去】,qù,v.,"used after a verb, indicating the tendency
of the action",小猫跑到房间里～了。,xiǎo māo 跑 dào 房 间 lǐ qù le 。
82,【去】,qù,v.,remove; get rid of,把这个字～掉，这个句子就对了。,bǎ 这 gè zì qù diào ， 这 gè 句 子 jiù duì le 。
83,【热】,rè,adj.,hot; high in temperature,今天很～。,今 天 hěn rè 。
83,【热】,rè,v.,heat up; warm up,我去～一下米饭。,wǒ qù rè yī xià mǐ 饭 。
84,【人】,rén,n.,human being; person; people,商店里有很多～。,商 店 lǐ yǒu hěn duō rén 。
85,【认识】,rènshi,v.,get to know; get acquainted with,～你很高兴。,认 识 nǐ hěn gāo 兴 。
86,【三】,sān,num.,three,我有～本书。,wǒ yǒu sān běn shū 。
87,【商店】,shāngdiàn,n.,shop; store,她去～买东西了。,tā qù 商 店 mǎi dōng xī le 。
88,【上】,shàng,n.,upper; up; on; upward,水果在桌子～。,shuǐ 果 zài 桌 子 shàng 。
88,【上】,shàng,v.,"be engaged (in work, study, etc.) at a fixed
time",我们八点去～学。,wǒ 们 bā diǎn qù shàng 学 。
88,【上】,shàng,v.,go up; mount; board; get on,我们坐电梯～楼。,wǒ 们 zuò 电 梯 shàng lóu 。
89,【上午】,shàngwǔ,n.,morning,现在是～10 点。,现 zài shì shàng 午 1 0   diǎn 。
90,【少】,shǎo,adj.,not much / many,杯子里的水很～。,杯 子 lǐ de shuǐ hěn shǎo 。
90,【少】,shǎo,v.,be short; be lack,我还～本书。,wǒ huán shǎo běn shū 。
91,【谁】,shéi,pron.,who(m),那个人是～？,那 gè rén shì shéi ？
92,【什么】,shénme,pron.,what,你看见了～？,nǐ kàn 见 le 什 么 ？
92,【什么】,shénme,pron.,"express explicit meaning, referring to the
thing uncertain or unspoken",你真棒，～都会！,nǐ zhēn bàng ， 什 么 dōu huì ！
93,【十】,shí,num.,ten,现在是～月。,现 zài shì shí yuè 。
94,【时候】,shíhou,n.,moment; time; period,我回家的～，他在睡觉。,wǒ huí jiā de 时 候 ， tā zài 睡 觉 。
95,【是】,shì,v.,be,他不～学生。,tā bù shì 学 生 。
95,【是】,shì,v.,yes,"甲：你是中国人吗？
乙：～，我是中国人。","甲 ： nǐ shì 中 国 rén ma ？ 
 乙 ： shì ， wǒ shì 中 国 rén 。"
96,【书】,shū,n.,book,我喜欢读～。,wǒ 喜 欢 dú shū 。
97,【水】,shuǐ,n.,water,杯子里还有～吗？,杯 子 lǐ huán yǒu shuǐ ma ？
98,【水果】,shuǐguǒ,n.,fruit,我想去商店买～。,wǒ xiǎng qù 商 店 mǎi shuǐ 果 。
99,【睡觉】,shuìjiào,v.,sleep; go to bed,儿子在～呢。,儿 子 zài 睡 觉 ne 。
100,【说】,shuō,v.,speak; talk; say,你在～什么？,nǐ zài shuō 什 么 ？
101,【说话】,shuōhuà,v.,speak; talk; say,他们在～。,tā 们 zài shuō 话 。
102,【四】,sì,num.,four,我们～个人去看电影。,wǒ 们 sì gè rén qù kàn 电 影 。
103,【岁】,suì,nm.,year (of age),李医生今年 40～。,李 医 生 今 nián   4 0 suì 。
104,【他】,tā,pron.,he; him,～是我们的老师。,tā shì wǒ 们 de lǎo 师 。
105,【她】,tā,pron.,she; her,我认识～的妈妈。,wǒ 认 识 tā de 妈 妈 。
106,【太】,tài,adv.,"(in expressing approval or compliment)
very much or extremely",这个学校～大了。,这 gè 学 校 tài dà le 。
106,【太】,tài,adv.,too; excessively,这个苹果～大，我吃不完。,这 gè 苹 果 tài dà ， wǒ chī bù wán 。
107,【天气】,tiānqì,n.,weather,今天的～非常好。,今 天 de 天 气 非 常 hǎo 。
108,【听】,tīng,v.,hear; listen,你～，谁来了？,nǐ tīng ， shéi lái le ？
108,【听】,tīng,v.,obey; accept,这件事儿，我～你的。,这 jiàn 事 儿 ， wǒ tīng nǐ de 。
109,【同学】,tóngxué,n.,student; classmate,～们，你们好！,同 学 们 ， nǐ 们 hǎo ！
110,【喂】,wèi,int.,hello; hey;hi,～，李老师在吗？,wèi ， 李 lǎo 师 zài ma ？
111,【我】,wǒ,pron.,I; me,～是一个学生。,wǒ shì yī gè 学 生 。
112,【我们】,wǒmen,pron.,we; us,～都是学生。,wǒ 们 dōu shì 学 生 。
113,【五】,wǔ,num.,five,今天星期～。,今 天 星 期 wǔ 。
114,【喜欢】,xǐhuan,v.,like or be interested in (sb. or sth.),我～学汉语。,wǒ 喜 欢 学 汉 语 。
115,【下】,xià,n.,under; below,小猫在桌子～面。,xiǎo māo zài 桌 子 xià 面 。
115,【下】,xià,v.,fall,今天～雨了。,今 天 xià yǔ le 。
115,【下】,xià,n.,next,我～个月去北京。,wǒ xià gè yuè qù 北 京 。
115,【下】,xià,v.,go down; get off,他在～飞机呢。,tā zài xià 飞 机 ne 。
115,【下】,xià,v.,finish; leave (work or shift or class),我们八点～班。,wǒ 们 bā diǎn xià bān 。
116,【下午】,xiàwǔ,n.,afternoon,我今天～不去学校了。,wǒ 今 天 xià 午 bù qù 学 校 le 。
117,【下雨】,xià yǔ,v.,rain,昨天～了。,昨 天 xià yǔ le 。
118,【先生】,xiānsheng,n.,(addressing) Mr.; Mister; sir,你也认识王～？,nǐ yě 认 识 王 xiān 生 ？
119,【现在】,xiànzài,n.,now; nowadays; today; at present,～是 12 点。,现 zài shì   1 2   diǎn 。
120,【想】,xiǎng,aux.,want to; be going to; would like to,我～星期六去北京。,wǒ xiǎng 星 期 liù qù 北 京 。
120,【想】,xiǎng,v.,think; think about; think of; think over,妈妈，你在～什么呢？,妈 妈 ， nǐ zài xiǎng 什 么 ne ？
120,【想】,xiǎng,v.,miss,爸爸，我～你了。,爸 爸 ， wǒ xiǎng nǐ le 。
121,【小】,xiǎo,adj.,small; little,这个苹果太~了。,这 gè 苹 果 tài xiǎo le 。
121,【小】,xiǎo,v.,become smaller,雨～了，我们现在走吧。,yǔ xiǎo le ， wǒ 们 现 zài zǒu ba 。
121,【小】,xiǎo,adj,the youngest,这是我的～儿子，他还有个哥哥。,这 shì wǒ de xiǎo 儿 子 ， tā huán yǒu gè 哥 哥 。
122,【小姐】,xiǎojiě,n.,Miss,～，你叫什么名字？,xiǎo 姐 ， nǐ jiào 什 么 名 zì ？
123,【些】,xiē,nm.,some,我买了～苹果。,wǒ mǎi le xiē 苹 果 。
123,【些】,xiē,vm.,a little bit,我的病好～了。,wǒ de 病 hǎo xiē le 。
124,【写】,xiě,v.,write,你～的字很漂亮。,nǐ xiě de zì hěn 漂 亮 。
125,【谢谢】,xièxie,v.,thank,甲：～你。乙：不客气！,甲 ： 谢 谢 nǐ 。 乙 ： bù 客 气 ！
126,【星期】,xīngqī,n.,week,一个～有七天。,yī gè 星 期 yǒu qī 天 。
127,【学生】,xuésheng,n.,student,我们学校里的～很多。,wǒ 们 学 校 lǐ de 学 生 hěn duō 。
128,【学习】,xuéxí,v.,study; learn,你喜欢～汉语吗？,nǐ 喜 欢 学 习 汉 语 ma ？
129,【学校】,xuéxiào,n.,school,我们～很大。,wǒ 们 学 校 hěn dà 。
130,【一】,yī,num.,one,这儿～个人都没有。,这 儿 yī gè rén dōu 没 yǒu 。
130,【一】,yī,num.,used between a reduplicative verb,请让我看～看。,qǐng ràng wǒ kàn yī kàn 。
131,【一点儿】,yìdiǎnr,nm.,a little,我只有～钱。,wǒ zhǐ yǒu yī diǎn 儿 qián 。
132,【衣服】,yīfu,n.,clothing; clothes; dress,我在商店买了很多～。,wǒ zài 商 店 mǎi le hěn duō 衣 服 。
133,【医生】,yīshēng,n.,doctor; surgeon,他是这个医院里的～。,tā shì 这 gè 医 院 lǐ de 医 生 。
134,【医院】,yīyuàn,n.,hospital,这是一个大～。,这 shì yī gè dà 医 院 。
135,【椅子】,yǐzi,n.,chair,小狗在～下面呢。,xiǎo gǒu zài 椅 子 xià 面 ne 。
136,【有】,yǒu,v.,have,我～一个女儿。,wǒ yǒu yī gè nǚ 儿 。
136,【有】,yǒu,v.,be; there be,桌子上～本书。,桌 子 shàng yǒu běn shū 。
137,【月】,yuè,n.,month,一年有 12 个～。,yī nián yǒu   1 2   gè yuè 。
138,【再见】,zàijiàn,n.,goodbye,妈妈，我去学校了，～。,妈 妈 ， wǒ qù 学 校 le ， zài 见 。
139,【在】,zài,v.,exist; lie; be at; be on,书～桌子上。,shū zài 桌 子 shàng 。
139,【在】,zài,adv.,"in the process of doing sth; just; be + verb
+ ing",我～吃饭呢。,wǒ zài chī 饭 ne 。
140,【怎么】,zěnme,pron.,"inquiring for property, condition, way, and
cause, etc.",你～去北京？,nǐ 怎 么 qù 北 京 ？
141,【怎么样】,zěnmeyàng,pron.,"How about it? What do you think?
(inquiring for comments and suggestions as an independent sentence)",我们去看电影，～？,wǒ 们 qù kàn 电 影 ， 怎 么 样 ？
142,【这（这儿）】,zhè（zhèr）,pron.,this; here,"～个人是我的同学。
我能坐在～儿吗？","这 （ 这 儿 ） gè rén shì wǒ de 同 学 。 
 wǒ néng zuò zài 这 （ 这 儿 ） 儿 ma ？"
143,【中国】,Zhōngguó,n.,China,我在～学汉语。,wǒ zài 中 国 学 汉 语 。
144,【中午】,zhōngwǔ,n.,noon; midday; noonday,我今天～去火车站。,wǒ 今 天 中 午 qù huǒ 车 zhàn 。
145,【住】,zhù,v.,live; stay; dwell,他在北京～了很多年。,tā zài 北 京 zhù le hěn duō nián 。
146,【桌子】,zhuōzi,n.,desk; table,电脑在～上。,电 脑 zài 桌 子 shàng 。
147,【字】,zì,n.,written Chinese character,这个～你认识吗？,这 gè zì nǐ 认 识 ma ？
148,【昨天】,zuótiān,n.,yesterday,他～没去学校。,tā 昨 天 没 qù 学 校 。
149,【坐】,zuò,v.,sit,他一个下午都～在电视前。,tā yī gè xià 午 dōu zuò zài 电 视 前 。
149,【坐】,zuò,v.,travel by (a vehicle),我～飞机去中国。,wǒ zuò 飞 机 qù 中 国 。
150,【做】,zuò,v.,make; produce,今天妈妈～了很多菜。,今 天 妈 妈 zuò le hěn duō cài 。
150,【做】,zuò,v.,"be; become, to do",你是～什么工作的？,nǐ shì zuò 什 么 工 作 de ？
150,【做】,zuò,v.,do,我每天～作业。,wǒ měi 天 zuò 作 业 。
151,【吧】,ba,mp.,"used at the end of a sentence to express
speculative interrogation",你是个学生～？,nǐ shì gè 学 生 ba ？
151,【吧】,ba,mp.,used at the end of an imperative sentence,请你走～！,qǐng nǐ zǒu ba ！
152,【白】,bái,adj.,white,我很爱穿那件～衣服。,wǒ hěn ài chuān 那 jiàn bái 衣 服 。
153,【百】,bǎi,num.,one hundred,这个自行车五～多元。,这 gè 自 行 车 wǔ bǎi duō yuán 。
154,【帮助】,bāngzhù,v.,help; assist; aid; support,请～我找一家搬家公司，好吗？,qǐng 帮 助 wǒ zhǎo yī jiā bān jiā 公 司 ， hǎo ma ？
155,【报纸】,bàozhǐ,n.,newspaper,我每天早上都要读～。,wǒ měi 天 早 shàng dōu yào dú 报 纸 。
156,【比】,bǐ,prep.,used to make comparison,我的孩子～我高。,wǒ de 孩 子 bǐ wǒ gāo 。
157,【别】,bié,adv.,don’t,太晚了，～看电视了。,tài 晚 le ， bié kàn 电 视 le 。
158,【长】,cháng,adj.,long,姐姐的腿～，跑得快。,姐 姐 de tuǐ cháng ， 跑 de kuài 。
159,【唱歌】,chànggē,v.,sing,我最爱～了，我给你们唱一个。,wǒ zuì ài 唱 歌 le ， wǒ gěi nǐ 们 唱 yī gè 。
160,【出】,chū,v.,exit; go out,我已经走～火车站了。,wǒ 已 经 zǒu chū huǒ 车 zhàn le 。
160,【出】,chū,v.,happen,你帮我看看，这台电脑～什么问题了？,nǐ 帮 wǒ kàn kàn ， 这 台 电 脑 chū 什 么 wèn tí le ？
160,【出】,chū,v.,"used after a verb, indicating direction",我从他的脸上，没看～他难过来。,wǒ cóng tā de liǎn shàng ， 没 kàn chū tā nán guò lái 。
161,【穿】,chuān,v.,wear; put on,天冷了，多～些衣服吧。,天 lěng le ， duō chuān xiē 衣 服 ba 。
162,【次】,cì,nm./vm.,number of times,我去过一～北京。,wǒ qù guò yī cì 北 京 。
163,【从】,cóng,prep.,from; since,～我家到公司，开车要 20 分钟。,cóng wǒ jiā dào 公 司 ， kāi 车 yào   2 0   fēn 钟 。
164,【错】,cuò,adj.,wrong; incorrect,对不起，我～了。,duì bù 起 ， wǒ cuò le 。
165,【打篮球】,dǎ lánqiú,adj.,play basketball,我每天下午都去～。,wǒ měi 天 xià 午 dōu qù 打 篮 球 。
166,【大家】,dàjiā,pron.,everyone;everybody,请～不要等我了。,qǐng dà jiā bù yào děng wǒ le 。
167,【到】,dào,v.,arrive; reach,我早上 9 点～公司。,wǒ 早 shàng   9   diǎn dào 公 司 。
168,【得】,de,sa.,marker of complement,你走～太快了。,nǐ zǒu de tài kuài le 。
169,【等】,děng,v.,wait,你还要再～我 10 分钟。,nǐ huán yào zài děng wǒ   1 0   fēn 钟 。
170,【弟弟】,dìdi,n.,younger brother,在我们家，我最大，我下面还有两个～。,zài wǒ 们 jiā ， wǒ zuì dà ， wǒ xià 面 huán yǒu liǎng gè 弟 弟 。
171,【第一】,dì-yī,num.,first,这是我～次见到他。,这 shì wǒ 第 yī cì 见 dào tā 。
172,【懂】,dǒng,v.,understand,你的意思我～了。,nǐ de 意 思 wǒ dǒng le 。
173,【对】,duì,adj.,right; correct,你是～的，我错了。,nǐ shì duì de ， wǒ cuò le 。
174,【对】,duì,prep.,to; towards,孩子～妈妈说：“妈妈，我爱你。”,孩 子 duì 妈 妈 shuō ： “ 妈 妈 ， wǒ ài nǐ 。 ”
175,【房间】,fángjiān,n.,room,我们两个人住一个～。,wǒ 们 liǎng gè rén zhù yī gè 房 间 。
176,【非常】,fēicháng,adv.,very,奶奶～喜欢我们送的礼物。,奶 奶 非 常 喜 欢 wǒ 们 sòng de 礼 物 。
177,【服务员】,fúwùyuán,n.,attendant; waiter; waitress,我在饭馆做～。,wǒ zài 饭 馆 zuò 服 务 员 。
178,【高】,gāo,adj.,tall; high,我比爸爸还～。,wǒ bǐ 爸 爸 huán gāo 。
179,【告诉】,gàosu,v.,tell,你能～我学校怎么走吗？,nǐ néng 告 诉 wǒ 学 校 怎 么 zǒu ma ？
180,【哥哥】,gēge,n.,elder brother,我～比我大三岁。,wǒ 哥 哥 bǐ wǒ dà sān suì 。
181,【给】,gěi,v.,hand over,请把这本书～他。,qǐng bǎ 这 běn shū gěi tā 。
181,【给】,gěi,prep.,for,这是～你买的。,这 shì gěi nǐ mǎi de 。
