used to emphasize,都,dōu,adv.,我都快吃完了。,
我都快吃完了。,I'm almost done.,都,dōu,adv.,used to emphasize
already,都,dōu,adv.,现在都三点了，我们快迟到了。,
现在都三点了，我们快迟到了。,"It's three o'clock now, we're going to be late.",都,dōu,adv.,already
read,读,dú,v.,你会读这个汉字吗？ 你喜欢读书吗？,
你会读这个汉字吗？ 你喜欢读书吗？,Can you read this character? Do you like reading?,读,dú,v.,read
I’m sorry.,对不起,duìbuqǐ,v.,甲：对不起。乙：没关系。,
甲：对不起。乙：没关系。,A: Sorry. B: It's okay.,对不起,duìbuqǐ,v.,I’m sorry.
a lot of,多,duō,adj.,这里的人很多。,
这里的人很多。,There are a lot of people here.,多,duō,adj.,a lot of
"how (used in an interrogative sentence, expressing an inquiry of number or degree)",多,duō,adv.,你儿子多大了？,
你儿子多大了？,how old is your son,多,duō,adv.,"how (used in an interrogative sentence, expressing an inquiry of number or degree)"
"how (used before an adjective, indicating exclamation)",多,duō,adv.,他跑得多快啊！,
他跑得多快啊！,How fast he runs!,多,duō,adv.,"how (used before an adjective, indicating exclamation)"
how many; how much,多少,duōshao,pron.,你们学校有多少学生？,
你们学校有多少学生？,How many students are in your school?,多少,duōshao,pron.,how many; how much
son,儿子,érzi,n.,我儿子三岁了。,
我儿子三岁了。,My son is three years old.,儿子,érzi,n.,son
two,二,èr,num.,现在十二点了。,
现在十二点了。,It was now twelve o'clock.,二,èr,num.,two
"restaurant,eatery;(large) hotel",饭店,fàndiàn,n.,中午我们去饭店吃吧。,
中午我们去饭店吃吧。,Let's go to the restaurant at noon.,饭店,fàndiàn,n.,"restaurant,eatery;(large) hotel"
plane,飞机,fēijī,n.,我坐飞机去北京。,
我坐飞机去北京。,I'm flying to Beijing.,飞机,fēijī,n.,plane
minute,分钟,fēnzhōng,n.,我想休息几分钟。,
我想休息几分钟。,I'd like to take a few minutes off.,分钟,fēnzhōng,n.,minute
happy; glad; cheerful; pleased,高兴,gāoxìng,adj.,今天我很高兴。,
今天我很高兴。,i am happy today,高兴,gāoxìng,adj.,happy; glad; cheerful; pleased
used with nouns without specific measure words,个,gè,nm.,我是一个学生。,
我是一个学生。,I am a student.,个,gè,nm.,used with nouns without specific measure words
job; work,工作,gōngzuò,n.,我很喜欢现在的工作。,
我很喜欢现在的工作。,I love my current job.,工作,gōngzuò,n.,job; work
work,工作,gōngzuò,v.,我在医院工作。,
我在医院工作。,I work in a hospital.,工作,gōngzuò,v.,work
Chinese language,汉语,Hànyǔ,n.,他在学习汉语。,
他在学习汉语。,He is learning Chinese.,汉语,Hànyǔ,n.,Chinese language
good; nice; well; fine,好,hǎo,adj.,今天天气很好。,
今天天气很好。,The weather is very good today.,好,hǎo,adj.,good; nice; well; fine
ok; please,好,hǎo,adj.,你听我说，好吗？,
你听我说，好吗？,"Listen to me, okay?",好,hǎo,adj.,ok; please
very,好,hǎo,adv.,你的衣服好漂亮啊！,
你的衣服好漂亮啊！,Your clothes are so beautiful!,好,hǎo,adv.,very
date,号,hào,n.,今天是 2002 年 1 月 1号。,
今天是 2002 年 1 月 1号。,"Today is January 1, 2002.",号,hào,n.,date
number,号,hào,nm.,你的房间号是多少？,
你的房间号是多少？,What's your room number?,号,hào,nm.,number
drink,喝,hē,v.,我想喝水。,
我想喝水。,I would like water,喝,hē,v.,drink
and,和,hé,conj.,爸爸和妈妈都在家。,
爸爸和妈妈都在家。,Mom and Dad are at home.,和,hé,conj.,and
with,和,hé,prep.,他和王先生说话呢。,
他和王先生说话呢。,He was talking to Mr. Wang.,和,hé,prep.,with
very,很,hěn,adv.,李小姐很漂亮。,
李小姐很漂亮。,Miss Li is very beautiful.,很,hěn,adv.,very
at the back; in the rear; behind,后面,hòumiàn,n.,商店在学校后面。,
商店在学校后面。,The shop is behind the school.,后面,hòumiàn,n.,at the back; in the rear; behind
later; afterwards,后面,hòumiàn,n.,关于这个问题，后面我还会详细说。,
关于这个问题，后面我还会详细说。,I will elaborate on this later.,后面,hòumiàn,n.,later; afterwards
go back,回,huí,v.,我八点回家。,
我八点回家。,I'll be home at 8.,回,huí,v.,go back
number of times,回,huí,vm.,我去过一回北京。,
我去过一回北京。,I went to Beijing once.,回,huí,vm.,number of times
can; be capable of,会,huì,aux.,我会开车。,
我会开车。,I can drive.,会,huì,aux.,can; be capable of
"used after a verb, resultative",会,huì,v.,我学会了汉语。,
我学会了汉语。,I learned Chinese.,会,huì,v.,"used after a verb, resultative"
may,会,huì,aux.,明天是不会下雨的。,
明天是不会下雨的。,It won't rain tomorrow.,会,huì,aux.,may
meeting,会,huì,n.,我们在开会。,
我们在开会。,We're in a meeting.,会,huì,n.,meeting
how many,几,jǐ,pron.,你有几个儿子？,
你有几个儿子？,How many sons do you have?,几,jǐ,pron.,how many
express an indeterminate amount,几,jǐ,pron.,我家里来了几个人。,
我家里来了几个人。,A few people came to my house.,几,jǐ,pron.,express an indeterminate amount
home; family; household,家,jiā,n.,我家在北京。,
我家在北京。,My home is in Beijing.,家,jiā,n.,home; family; household
"used for families, restaurants, hotels or companies",家,jiā,nm.,我哥哥开了一家公司。,
我哥哥开了一家公司。,My brother started a company.,家,jiā,nm.,"used for families, restaurants, hotels or companies"
call(ed) (followed by a name),叫,jiào,v.,我的名字叫李明。,
我的名字叫李明。,My name is Li Ming.,叫,jiào,v.,call(ed) (followed by a name)
today,今天,jīntiān,n.,我今天去北京。,
我今天去北京。,I'm going to Beijing today.,今天,jīntiān,n.,today
now; at present,今天,jīntiān,n,在今天，过去的东西我们都不太理解了。,
在今天，过去的东西我们都不太理解了。,"Today, we don't understand much about the past.",今天,jīntiān,n,now; at present
nine,九,jiǔ,num.,今天是八月九日。,
今天是八月九日。,Today is August 9th.,九,jiǔ,num.,nine
drive,开,kāi,v.,我开了三年出租车了。,
我开了三年出租车了。,I've been driving a taxi for three years.,开,kāi,v.,drive
open; found,开,kāi,v.,我爸爸开了一个小公司。,
我爸爸开了一个小公司。,My dad started a small company.,开,kāi,v.,open; found
open,开,kāi,v.,请开门，让我进去。,
请开门，让我进去。,Please open the door and let me in.,开,kāi,v.,open
hold,开,kāi,v.,我们学校在每年夏天开运动会。,
我们学校在每年夏天开运动会。,Athletic meets are held in our school every summer.,开,kāi,v.,hold
look; watch,看,kàn,v.,你看，那本书在桌子上呢。,
你看，那本书在桌子上呢。,"Look, there's the book on the table.",看,kàn,v.,look; watch
read; appreciate,看,kàn,v.,我在看书呢。,
我在看书呢。,I'm reading a book.,看,kàn,v.,read; appreciate
see,看见,kànjiàn,v.,我没看见他。,
我没看见他。,I didn't see him.,看见,kànjiàn,v.,see
RMB Yuan,块,kuài,nm.,这本书三十块钱。,
这本书三十块钱。,Thirty dollars for this book.,块,kuài,nm.,RMB Yuan
piece,块,kuài,nm.,来吃块西瓜吧。,
来吃块西瓜吧。,Let's have a watermelon.,块,kuài,nm.,piece
together,块,kuài,vm.,我跟朋友在一块儿呢。,
我跟朋友在一块儿呢。,I'm with a friend.,块,kuài,vm.,together
come,来,lái,v.,他是昨天来这儿的。,
他是昨天来这儿的。,He came here yesterday.,来,lái,v.,come
used to indicate some action,来,lái,v.,再来点儿水果，怎么样？,
再来点儿水果，怎么样？,How about some more fruit?,来,lái,v.,used to indicate some action
teacher,老师,lǎoshī,n.,他就是我们的汉语老师。,
他就是我们的汉语老师。,He is our Chinese teacher.,老师,lǎoshī,n.,teacher
used at the end of a senence to indicate change in status,了,le,mp.,昨天下雨了。,
昨天下雨了。,It rained yesterday.,了,le,mp.,used at the end of a senence to indicate change in status
used after a verb to indicate that the action is in the past and has been completed,了,le,sa.,我吃了饭就去你那里。,
我吃了饭就去你那里。,I'll come to you after dinner.,了,le,sa.,used after a verb to indicate that the action is in the past and has been completed
cold,冷,lěng,adj.,今天太冷了。,
今天太冷了。,It's too cold today.,冷,lěng,adj.,cold
interior; inside,里,lǐ,n.,我们都在学校里。,
我们都在学校里。,We're all at school.,里,lǐ,n.,interior; inside
zero,零,líng,num.,今年是二零一二年。,
今年是二零一二年。,This year is 2012.,零,líng,num.,zero
six,六,liù,num.,桌子上有六个杯子。,
桌子上有六个杯子。,There are six cups on the table.,六,liù,num.,six
mother; ma; mamma;mum,妈妈,māma,n.,我妈妈不在家。,
我妈妈不在家。,My mother is not at home.,妈妈,māma,n.,mother; ma; mamma;mum
"used at the end of a sentence, indicating a question",吗,ma,mp.,你是中国人吗？,
你是中国人吗？,Are you Chinese?,吗,ma,mp.,"used at the end of a sentence, indicating a question"
buy,买,mǎi,v.,我买了一些苹果。,
我买了一些苹果。,I bought some apples.,买,mǎi,v.,buy
That’s all right. You are welcome.,没关系,méi guānxi,v.,甲：对不起！乙：没关系。,
甲：对不起！乙：没关系。,A: Sorry! B: It's okay.,没关系,méi guānxi,v.,That’s all right. You are welcome.
have no relation with,没关系,méi guānxi,v.,这件事，跟我没关系。,
这件事，跟我没关系。,This matter has nothing to do with me.,没关系,méi guānxi,v.,have no relation with
have nothing or nobody; can’t compare with others,没有,méiyǒu,v.,我家里没有人。 我没有他高。,
我家里没有人。 我没有他高。,I don't have anyone in the house. I'm not as tall as him.,没有,méiyǒu,v.,have nothing or nobody; can’t compare with others
cooked rice,米饭,mǐfàn,n.,我爱吃米饭。,
我爱吃米饭。,I love rice.,米饭,mǐfàn,n.,cooked rice
tomorrow,明天,míngtiān,n.,今天星期日，明天是星期一。,
今天星期日，明天是星期一。,"Today is Sunday, tomorrow is Monday.",明天,míngtiān,n.,tomorrow
name; title,名字,míngzi,n.,我的名字叫李明。,
我的名字叫李明。,My name is Li Ming.,名字,míngzi,n.,name; title
which ( used in front of a measure word),哪,nǎ,pron.,哪个杯子是你的？,
哪个杯子是你的？,Which cup is yours?,哪,nǎ,pron.,which ( used in front of a measure word)
where,哪儿,nǎr,pron.,你家在哪儿？,
你家在哪儿？,Where is your home?,哪儿,nǎr,pron.,where
that,那（那儿）,nà（nàr）,pron.,我不认识那（那儿）个人。,
我不认识那（那儿）个人。,I don't know that person.,那（那儿）,nà（nàr）,pron.,that
there,那（那儿）,nà（nàr）,pron.,我们的车在那（那儿）。,
我们的车在那（那儿）。,Our car is there (there).,那（那儿）,nà（nàr）,pron.,there
"used at the end of a sentence, indicating an interrogative statement",呢,ne,mp.,你们家有几个人呢？,
你们家有几个人呢？,How many people are in your family?,呢,ne,mp.,"used at the end of a sentence, indicating an interrogative statement"
used at the end of a sentence to indicate a statement,呢,ne,mp.,我在睡觉呢。,
我在睡觉呢。,I'm sleeping.,呢,ne,mp.,used at the end of a sentence to indicate a statement
can; may,能,néng,aux.,我能坐在这儿吗？,
我能坐在这儿吗？,Can I sit here?,能,néng,aux.,can; may
you,你,nǐ,pron.,你认识这个人吗？,
你认识这个人吗？,Do you know this person?,你,nǐ,pron.,you
year,年,nián,n.,我在中国住了三年。,
我在中国住了三年。,I lived in China for three years.,年,nián,n.,year
daughter,女儿,nǚ’ér,n.,我有两个女儿。,
我有两个女儿。,I have two daughters.,女儿,nǚ’ér,n.,daughter
friend,朋友,péngyou,n.,他是我的好朋友。,
他是我的好朋友。,He's a good friend of mine.,朋友,péngyou,n.,friend
good-looking; pretty; beautiful,漂亮,piàoliang,adj.,你的衣服真漂亮。,
你的衣服真漂亮。,What a lovely outfit you have on.,漂亮,piàoliang,adj.,good-looking; pretty; beautiful
apple,苹果,píngguǒ,n.,你想不想吃个苹果？,
你想不想吃个苹果？,Would you like an apple?,苹果,píngguǒ,n.,apple
seven,七,qī,num.,一个星期有七天。,
一个星期有七天。,There are seven days in a week.,七,qī,num.,seven
money,钱,qián,n.,一个苹果三块钱。,
一个苹果三块钱。,Three dollars for an apple.,钱,qián,n.,money
before; in front; at the head; ahead,前面,qiánmiàn,n.,前面那个人是我的同学。,
前面那个人是我的同学。,The person in front is my classmate.,前面,qiánmiàn,n.,before; in front; at the head; ahead
please,请,qǐng,v.,请坐在椅子上。,
请坐在椅子上。,Please sit in a chair.,请,qǐng,v.,please
request; ask; invite; engage; hire,请,qǐng,v.,我去请老师帮忙。,
我去请老师帮忙。,I'll ask the teacher for help.,请,qǐng,v.,request; ask; invite; engage; hire
entertain; treat,请,qǐng,v.,他想请我吃饭。,
他想请我吃饭。,He wants to buy me dinner.,请,qǐng,v.,entertain; treat
go; leave,去,qù,v.,我星期三去中国。,
我星期三去中国。,I'm going to China on Wednesday.,去,qù,v.,go; leave
"used after a verb, indicating the tendency of the action",去,qù,v.,小猫跑到房间里去了。,
小猫跑到房间里去了。,The kitten ran into the room.,去,qù,v.,"used after a verb, indicating the tendency of the action"
remove; get rid of,去,qù,v.,把这个字去掉，这个句子就对了。,
把这个字去掉，这个句子就对了。,Remove this word and the sentence is correct.,去,qù,v.,remove; get rid of
hot; high in temperature,热,rè,adj.,今天很热。,
今天很热。,It's hot today.,热,rè,adj.,hot; high in temperature
heat up; warm up,热,rè,v.,我去热一下米饭。,
我去热一下米饭。,I'm going to warm up the rice.,热,rè,v.,heat up; warm up
human being; person; people,人,rén,n.,商店里有很多人。,
商店里有很多人。,There are a lot of people in the shop.,人,rén,n.,human being; person; people
get to know; get acquainted with,认识,rènshi,v.,认识你很高兴。,
认识你很高兴。,Nice to meet you.,认识,rènshi,v.,get to know; get acquainted with
three,三,sān,num.,我有三本书。,
我有三本书。,I have three books.,三,sān,num.,three
shop; store,商店,shāngdiàn,n.,她去商店买东西了。,
她去商店买东西了。,She went to the store to buy something.,商店,shāngdiàn,n.,shop; store
upper; up; on; upward,上,shàng,n.,水果在桌子上。,
水果在桌子上。,The fruit is on the table.,上,shàng,n.,upper; up; on; upward
"be engaged (in work, study, etc.) at a fixed time",上,shàng,v.,我们八点去上学。,
我们八点去上学。,We go to school at 8 o'clock.,上,shàng,v.,"be engaged (in work, study, etc.) at a fixed time"
go up; mount; board; get on,上,shàng,v.,我们坐电梯上楼。,
我们坐电梯上楼。,We take the elevator upstairs.,上,shàng,v.,go up; mount; board; get on
morning,上午,shàngwǔ,n.,现在是上午10 点。,
现在是上午10 点。,It is 10am.,上午,shàngwǔ,n.,morning
not much / many,少,shǎo,adj.,杯子里的水很少。,
杯子里的水很少。,There is very little water in the cup.,少,shǎo,adj.,not much / many
be short; be lack,少,shǎo,v.,我还少本书。,
我还少本书。,I'm also missing a book.,少,shǎo,v.,be short; be lack
who(m),谁,shéi,pron.,那个人是谁？,
那个人是谁？,Who is that person?,谁,shéi,pron.,who(m)
what,什么,shénme,pron.,你看见了什么？,
你看见了什么？,What do you see?,什么,shénme,pron.,what
"express explicit meaning, referring to the thing uncertain or unspoken",什么,shénme,pron.,你真棒，什么都会！,
你真棒，什么都会！,"You're awesome, you can do anything!",什么,shénme,pron.,"express explicit meaning, referring to the thing uncertain or unspoken"
ten,十,shí,num.,现在是十月。,
现在是十月。,It's October.,十,shí,num.,ten
moment; time; period,时候,shíhou,n.,我回家的时候，他在睡觉。,
我回家的时候，他在睡觉。,He was sleeping when I got home.,时候,shíhou,n.,moment; time; period
be,是,shì,v.,他不是学生。,
他不是学生。,He's not a student.,是,shì,v.,be
yes,是,shì,v.,甲：你是中国人吗？ 乙：是，我是中国人。,
甲：你是中国人吗？ 乙：是，我是中国人。,"A: Are you Chinese? B: Yes, I am Chinese.",是,shì,v.,yes
book,书,shū,n.,我喜欢读书。,
我喜欢读书。,I like to read.,书,shū,n.,book
water,水,shuǐ,n.,杯子里还有水吗？,
杯子里还有水吗？,Is there any water in the glass?,水,shuǐ,n.,water
fruit,水果,shuǐguǒ,n.,我想去商店买水果。,
我想去商店买水果。,I want to go to the store to buy fruit.,水果,shuǐguǒ,n.,fruit
sleep; go to bed,睡觉,shuìjiào,v.,儿子在睡觉呢。,
儿子在睡觉呢。,My son is sleeping.,睡觉,shuìjiào,v.,sleep; go to bed
speak; talk; say,说,shuō,v.,你在说什么？,
你在说什么？,[Translation error],说,shuō,v.,speak; talk; say
speak; talk; say,说话,shuōhuà,v.,他们在说话。,
他们在说话。,They were talking.,说话,shuōhuà,v.,speak; talk; say
four,四,sì,num.,我们四个人去看电影。,
我们四个人去看电影。,The four of us went to the movies.,四,sì,num.,four
year (of age),岁,suì,nm.,李医生今年 40岁。,
李医生今年 40岁。,Dr. Li is 40 years old.,岁,suì,nm.,year (of age)
he; him,他,tā,pron.,他是我们的老师。,
他是我们的老师。,He is our teacher.,他,tā,pron.,he; him
she; her,她,tā,pron.,我认识她的妈妈。,
我认识她的妈妈。,I know her mother.,她,tā,pron.,she; her
(in expressing approval or compliment) very much or extremely,太,tài,adv.,这个学校太大了。,
这个学校太大了。,This school is too big.,太,tài,adv.,(in expressing approval or compliment) very much or extremely
too; excessively,太,tài,adv.,这个苹果太大，我吃不完。,
这个苹果太大，我吃不完。,This apple is too big for me to finish.,太,tài,adv.,too; excessively
weather,天气,tiānqì,n.,今天的天气非常好。,
今天的天气非常好。,The weather was great today.,天气,tiānqì,n.,weather
hear; listen,听,tīng,v.,你听，谁来了？,
你听，谁来了？,"Listen, who's coming?",听,tīng,v.,hear; listen
obey; accept,听,tīng,v.,这件事儿，我听你的。,
这件事儿，我听你的。,I'll listen to you about this.,听,tīng,v.,obey; accept
student; classmate,同学,tóngxué,n.,同学们，你们好！,
同学们，你们好！,"Hi, A-School!",同学,tóngxué,n.,student; classmate
hello; hey;hi,喂,wèi,int.,喂，李老师在吗？,
喂，李老师在吗？,"Hello, is Miss Li there?",喂,wèi,int.,hello; hey;hi
I; me,我,wǒ,pron.,我是一个学生。,
我是一个学生。,I am a student.,我,wǒ,pron.,I; me
we; us,我们,wǒmen,pron.,我们都是学生。,
我们都是学生。,We are all students.,我们,wǒmen,pron.,we; us
five,五,wǔ,num.,今天星期五。,
今天星期五。,Today is Friday.,五,wǔ,num.,five
like or be interested in (sb. or sth.),喜欢,xǐhuan,v.,我喜欢学汉语。,
我喜欢学汉语。,I like to learn Chinese.,喜欢,xǐhuan,v.,like or be interested in (sb. or sth.)
under; below,下,xià,n.,小猫在桌子下面。,
小猫在桌子下面。,The kitten is under the table.,下,xià,n.,under; below
fall,下,xià,v.,今天下雨了。,
今天下雨了。,It's raining today.,下,xià,v.,fall
next,下,xià,n.,我下个月去北京。,
我下个月去北京。,I'm going to Beijing next month.,下,xià,n.,next
go down; get off,下,xià,v.,他在下飞机呢。,
他在下飞机呢。,He's getting off the plane.,下,xià,v.,go down; get off
finish; leave (work or shift or class),下,xià,v.,我们八点下班。,
我们八点下班。,We get off at 8.,下,xià,v.,finish; leave (work or shift or class)
afternoon,下午,xiàwǔ,n.,我今天下午不去学校了。,
我今天下午不去学校了。,I'm not going to school this afternoon.,下午,xiàwǔ,n.,afternoon
rain,下雨,xià yǔ,v.,昨天下雨了。,
昨天下雨了。,It rained yesterday.,下雨,xià yǔ,v.,rain
(addressing) Mr.; Mister; sir,先生,xiānsheng,n.,你也认识王先生？,
你也认识王先生？,"You know Mr. Wang, too?",先生,xiānsheng,n.,(addressing) Mr.; Mister; sir
now; nowadays; today; at present,现在,xiànzài,n.,现在是 12 点。,
现在是 12 点。,It's 12 o'clock.,现在,xiànzài,n.,now; nowadays; today; at present
want to; be going to; would like to,想,xiǎng,aux.,我想星期六去北京。,
我想星期六去北京。,I want to go to Beijing on Saturday.,想,xiǎng,aux.,want to; be going to; would like to
think; think about; think of; think over,想,xiǎng,v.,妈妈，你在想什么呢？,
妈妈，你在想什么呢？,"Mom, what are you thinking?",想,xiǎng,v.,think; think about; think of; think over
miss,想,xiǎng,v.,爸爸，我想你了。,
爸爸，我想你了。,"Dad, I missed you.",想,xiǎng,v.,miss
small; little,小,xiǎo,adj.,这个苹果太~了。,
这个苹果太~了。,This apple is too ~.,小,xiǎo,adj.,small; little
become smaller,小,xiǎo,v.,雨小了，我们现在走吧。,
雨小了，我们现在走吧。,"The rain is small, let's go now.",小,xiǎo,v.,become smaller
the youngest,小,xiǎo,adj,这是我的小儿子，他还有个哥哥。,
这是我的小儿子，他还有个哥哥。,"This is my youngest son, who also has a brother.",小,xiǎo,adj,the youngest
Miss,小姐,xiǎojiě,n.,小姐，你叫什么名字？,
小姐，你叫什么名字？,"Miss, what's your name?",小姐,xiǎojiě,n.,Miss
some,些,xiē,nm.,我买了些苹果。,
我买了些苹果。,I bought some apples.,些,xiē,nm.,some
a little bit,些,xiē,vm.,我的病好些了。,
我的病好些了。,I'm feeling better.,些,xiē,vm.,a little bit
write,写,xiě,v.,你写的字很漂亮。,
你写的字很漂亮。,You write beautifully.,写,xiě,v.,write
thank,谢谢,xièxie,v.,甲：谢谢你。乙：不客气！,
甲：谢谢你。乙：不客气！,A: Thank you. B: You're welcome!,谢谢,xièxie,v.,thank
week,星期,xīngqī,n.,一个星期有七天。,
一个星期有七天。,There are seven days in a week.,星期,xīngqī,n.,week
student,学生,xuésheng,n.,我们学校里的学生很多。,
我们学校里的学生很多。,There are many students in our school.,学生,xuésheng,n.,student
study; learn,学习,xuéxí,v.,你喜欢学习汉语吗？,
你喜欢学习汉语吗？,Do you like learning Chinese?,学习,xuéxí,v.,study; learn
school,学校,xuéxiào,n.,我们学校很大。,
我们学校很大。,Our school is big.,学校,xuéxiào,n.,school
one,一,yī,num.,这儿一个人都没有。,
这儿一个人都没有。,There's no one here.,一,yī,num.,one
used between a reduplicative verb,一,yī,num.,请让我看一看。,
请让我看一看。,Please let me have a look.,一,yī,num.,used between a reduplicative verb
a little,一点儿,yìdiǎnr,nm.,我只有一点儿钱。,
我只有一点儿钱。,I only have a little money.,一点儿,yìdiǎnr,nm.,a little
clothing; clothes; dress,衣服,yīfu,n.,我在商店买了很多衣服。,
我在商店买了很多衣服。,I bought a lot of clothes at the store.,衣服,yīfu,n.,clothing; clothes; dress
doctor; surgeon,医生,yīshēng,n.,他是这个医院里的医生。,
他是这个医院里的医生。,He is a doctor in this hospital.,医生,yīshēng,n.,doctor; surgeon
hospital,医院,yīyuàn,n.,这是一个大医院。,
这是一个大医院。,This is a big hospital.,医院,yīyuàn,n.,hospital
chair,椅子,yǐzi,n.,小狗在椅子下面呢。,
小狗在椅子下面呢。,The puppy is under the chair.,椅子,yǐzi,n.,chair
have,有,yǒu,v.,我有一个女儿。,
我有一个女儿。,I have a daughter.,有,yǒu,v.,have
be; there be,有,yǒu,v.,桌子上有本书。,
桌子上有本书。,There is a book on the table.,有,yǒu,v.,be; there be
month,月,yuè,n.,一年有 12 个月。,
一年有 12 个月。,There are 12 months in a year.,月,yuè,n.,month
goodbye,再见,zàijiàn,n.,妈妈，我去学校了，再见。,
妈妈，我去学校了，再见。,"Mom, I'm going to school, bye.",再见,zàijiàn,n.,goodbye
exist; lie; be at; be on,在,zài,v.,书在桌子上。,
书在桌子上。,The book is on the table.,在,zài,v.,exist; lie; be at; be on
in the process of doing sth; just; be + verb + ing,在,zài,adv.,我在吃饭呢。,
我在吃饭呢。,I'm eating.,在,zài,adv.,in the process of doing sth; just; be + verb + ing
"inquiring for property, condition, way, and cause, etc.",怎么,zěnme,pron.,你怎么去北京？,
你怎么去北京？,How do you get to Beijing?,怎么,zěnme,pron.,"inquiring for property, condition, way, and cause, etc."
How about it? What do you think? (inquiring for comments and suggestions as an independent sentence),怎么样,zěnmeyàng,pron.,我们去看电影，怎么样？,
我们去看电影，怎么样？,"Let's go to the movies, shall we?",怎么样,zěnmeyàng,pron.,How about it? What do you think? (inquiring for comments and suggestions as an independent sentence)
this; here,这（这儿）,zhè（zhèr）,pron.,这（这儿）个人是我的同学。 我能坐在这（这儿）儿吗？,
这（这儿）个人是我的同学。 我能坐在这（这儿）儿吗？,This person (here) is my classmate. Can I sit here?,这（这儿）,zhè（zhèr）,pron.,this; here
China,中国,Zhōngguó,n.,我在中国学汉语。,
我在中国学汉语。,I am learning Chinese in China.,中国,Zhōngguó,n.,China
noon; midday; noonday,中午,zhōngwǔ,n.,我今天中午去火车站。,
我今天中午去火车站。,I'm going to the train station at noon today.,中午,zhōngwǔ,n.,noon; midday; noonday
live; stay; dwell,住,zhù,v.,他在北京住了很多年。,
他在北京住了很多年。,He lived in Beijing for many years.,住,zhù,v.,live; stay; dwell
desk; table,桌子,zhuōzi,n.,电脑在桌子上。,
