taxi,出租车,chūzūchē,n.,我们坐出租车去火车站。,,wǒ men zuò chū zū chē qù huǒ chē zhàn 。
我们坐出租车去火车站。,We take a taxi to the train station.,出租车,chūzūchē,n.,taxi,wǒ men zuò chū zū chē qù huǒ chē zhàn 。
make a phone call,打电话,dǎ diànhuà,n.,他在打电话呢。,,tā zài dǎ diàn huà ne 。
他在打电话呢。,He's on the phone.,打电话,dǎ diànhuà,n.,make a phone call,tā zài dǎ diàn huà ne 。
big; large; huge; great,大,dà,adj.,这个苹果很大。,,zhè ge píng guǒ hěn dà 。
这个苹果很大。,This apple is big.,大,dà,adj.,big; large; huge; great,zhè ge píng guǒ hěn dà 。
of (marker of attributive),的,de,sa.,这是我的书。,,zhè shì wǒ de shū 。
这是我的书。,This is my book.,的,de,sa.,of (marker of attributive),zhè shì wǒ de shū 。
expressing emphasis,的,de,sa.,我是坐飞机来中国的。,,wǒ shì zuò fēi jī lái zhōng guó de 。
我是坐飞机来中国的。,I came to China by plane.,的,de,sa.,expressing emphasis,wǒ shì zuò fēi jī lái zhōng guó de 。
indicating sb. or sth.,的,de,sa.,家里没吃的了，我们去买点儿吧。,,jiā lǐ méi chī de le ， wǒ men qù mǎi diǎn ér ba 。
家里没吃的了，我们去买点儿吧。,"There is no food at home, let's go buy some.",的,de,sa.,indicating sb. or sth.,jiā lǐ méi chī de le ， wǒ men qù mǎi diǎn ér ba 。
o’clock,点,diǎn,n.,现在是下午 3点20。,,xiàn zài shì xià wǔ  3 diǎn 20。
现在是下午 3点20。,It is 3:20 pm.,点,diǎn,n.,o’clock,xiàn zài shì xià wǔ  3 diǎn 20。
order,点,diǎn,v.,先生，请问您什么时候开始点菜？,,xiān shēng ， qǐng wèn nín shén me shí hòu kāi shǐ diǎn cài ？
先生，请问您什么时候开始点菜？,"Sir, when do you start ordering?",点,diǎn,v.,order,xiān shēng ， qǐng wèn nín shén me shí hòu kāi shǐ diǎn cài ？
light,点,diǎn,v.,你把火点着吧。,,nǐ bǎ huǒ diǎn zháo ba 。
你把火点着吧。,Light the fire.,点,diǎn,v.,light,nǐ bǎ huǒ diǎn zháo ba 。
computer,电脑,diànnǎo,n.,我买了个电脑。,,wǒ mǎi le gè diàn nǎo 。
我买了个电脑。,I bought a computer.,电脑,diànnǎo,n.,computer,wǒ mǎi le gè diàn nǎo 。
television,电视,diànshì,n.,妈妈在看电视。,,mā mā zài kàn diàn shì 。
妈妈在看电视。,Mom is watching TV.,电视,diànshì,n.,television,mā mā zài kàn diàn shì 。
motion picture; movie; film,电影,diànyǐng,n.,我喜欢看电影。,,wǒ xǐ huān kàn diàn yǐng 。
我喜欢看电影。,I like to watch movies.,电影,diànyǐng,n.,motion picture; movie; film,wǒ xǐ huān kàn diàn yǐng 。
thing; object,东西,dōngxi,n.,我在商店买了很多东西。,,wǒ zài shāng diàn mǎi le hěn duō dōng xī 。
我在商店买了很多东西。,I bought a lot of things in the store.,东西,dōngxi,n.,thing; object,wǒ zài shāng diàn mǎi le hěn duō dōng xī 。
all,都,dōu,adv.,我们都来了。,,wǒ men dōu lái le 。
我们都来了。,We're all here.,都,dōu,adv.,all,wǒ men dōu lái le 。
used to emphasize,都,dōu,adv.,我都快吃完了。,,wǒ dōu kuài chī wán le 。
我都快吃完了。,I'm almost done.,都,dōu,adv.,used to emphasize,wǒ dōu kuài chī wán le 。
already,都,dōu,adv.,现在都三点了，我们快迟到了。,,xiàn zài dōu sān diǎn le ， wǒ men kuài chí dào le 。
现在都三点了，我们快迟到了。,"It's three o'clock now, we're going to be late.",都,dōu,adv.,already,xiàn zài dōu sān diǎn le ， wǒ men kuài chí dào le 。
read,读,dú,v.,你会读这个汉字吗？ 你喜欢读书吗？,,nǐ huì dú zhè ge hàn zì ma ？  nǐ xǐ huān dú shū ma ？
你会读这个汉字吗？ 你喜欢读书吗？,Can you read this character? Do you like reading?,读,dú,v.,read,nǐ huì dú zhè ge hàn zì ma ？  nǐ xǐ huān dú shū ma ？
I’m sorry.,对不起,duìbuqǐ,v.,甲：对不起。乙：没关系。,,jiǎ ： duì bù qǐ 。 yǐ ： méi guān xì 。
甲：对不起。乙：没关系。,A: Sorry. B: It's okay.,对不起,duìbuqǐ,v.,I’m sorry.,jiǎ ： duì bù qǐ 。 yǐ ： méi guān xì 。
a lot of,多,duō,adj.,这里的人很多。,,zhè lǐ de rén hěn duō 。
这里的人很多。,There are a lot of people here.,多,duō,adj.,a lot of,zhè lǐ de rén hěn duō 。
"how (used in an interrogative sentence, expressing an inquiry of number or degree)",多,duō,adv.,你儿子多大了？,,nǐ ér zi duō dà le ？
你儿子多大了？,how old is your son,多,duō,adv.,"how (used in an interrogative sentence, expressing an inquiry of number or degree)",nǐ ér zi duō dà le ？
"how (used before an adjective, indicating exclamation)",多,duō,adv.,他跑得多快啊！,,tā pǎo dé duō kuài a ！
他跑得多快啊！,How fast he runs!,多,duō,adv.,"how (used before an adjective, indicating exclamation)",tā pǎo dé duō kuài a ！
how many; how much,多少,duōshao,pron.,你们学校有多少学生？,,nǐ men xué xiào yǒu duō shǎo xué shēng ？
你们学校有多少学生？,How many students are in your school?,多少,duōshao,pron.,how many; how much,nǐ men xué xiào yǒu duō shǎo xué shēng ？
son,儿子,érzi,n.,我儿子三岁了。,,wǒ ér zi sān suì le 。
我儿子三岁了。,My son is three years old.,儿子,érzi,n.,son,wǒ ér zi sān suì le 。
two,二,èr,num.,现在十二点了。,,xiàn zài shí èr diǎn le 。
现在十二点了。,It was now twelve o'clock.,二,èr,num.,two,xiàn zài shí èr diǎn le 。
"restaurant,eatery;(large) hotel",饭店,fàndiàn,n.,中午我们去饭店吃吧。,,zhōng wǔ wǒ men qù fàn diàn chī ba 。
中午我们去饭店吃吧。,Let's go to the restaurant at noon.,饭店,fàndiàn,n.,"restaurant,eatery;(large) hotel",zhōng wǔ wǒ men qù fàn diàn chī ba 。
plane,飞机,fēijī,n.,我坐飞机去北京。,,wǒ zuò fēi jī qù běi jīng 。
我坐飞机去北京。,I'm flying to Beijing.,飞机,fēijī,n.,plane,wǒ zuò fēi jī qù běi jīng 。
minute,分钟,fēnzhōng,n.,我想休息几分钟。,,wǒ xiǎng xiū xī jǐ fēn zhōng 。
我想休息几分钟。,I'd like to take a few minutes off.,分钟,fēnzhōng,n.,minute,wǒ xiǎng xiū xī jǐ fēn zhōng 。
happy; glad; cheerful; pleased,高兴,gāoxìng,adj.,今天我很高兴。,,jīn tiān wǒ hěn gāo xìng 。
今天我很高兴。,i am happy today,高兴,gāoxìng,adj.,happy; glad; cheerful; pleased,jīn tiān wǒ hěn gāo xìng 。
used with nouns without specific measure words,个,gè,nm.,我是一个学生。,,wǒ shì yí gè xué shēng 。
我是一个学生。,I am a student.,个,gè,nm.,used with nouns without specific measure words,wǒ shì yí gè xué shēng 。
job; work,工作,gōngzuò,n.,我很喜欢现在的工作。,,wǒ hěn xǐ huān xiàn zài de gōng zuò 。
我很喜欢现在的工作。,I love my current job.,工作,gōngzuò,n.,job; work,wǒ hěn xǐ huān xiàn zài de gōng zuò 。
work,工作,gōngzuò,v.,我在医院工作。,,wǒ zài yī yuàn gōng zuò 。
我在医院工作。,I work in a hospital.,工作,gōngzuò,v.,work,wǒ zài yī yuàn gōng zuò 。
Chinese language,汉语,Hànyǔ,n.,他在学习汉语。,,tā zài xué xí hàn yǔ 。
他在学习汉语。,He is learning Chinese.,汉语,Hànyǔ,n.,Chinese language,tā zài xué xí hàn yǔ 。
good; nice; well; fine,好,hǎo,adj.,今天天气很好。,,jīn tiān tiān qì hěn hǎo 。
今天天气很好。,The weather is very good today.,好,hǎo,adj.,good; nice; well; fine,jīn tiān tiān qì hěn hǎo 。
ok; please,好,hǎo,adj.,你听我说，好吗？,,nǐ tīng wǒ shuō ， hǎo ma ？
你听我说，好吗？,"Listen to me, okay?",好,hǎo,adj.,ok; please,nǐ tīng wǒ shuō ， hǎo ma ？
very,好,hǎo,adv.,你的衣服好漂亮啊！,,nǐ de yī fú hǎo piào liàng a ！
你的衣服好漂亮啊！,Your clothes are so beautiful!,好,hǎo,adv.,very,nǐ de yī fú hǎo piào liàng a ！
date,号,hào,n.,今天是 2002 年 1 月 1号。,,jīn tiān shì  2002  nián  1  yuè  1 hào 。
今天是 2002 年 1 月 1号。,"Today is January 1, 2002.",号,hào,n.,date,jīn tiān shì  2002  nián  1  yuè  1 hào 。
number,号,hào,nm.,你的房间号是多少？,,nǐ de fáng jiān hào shì duō shǎo ？
你的房间号是多少？,What's your room number?,号,hào,nm.,number,nǐ de fáng jiān hào shì duō shǎo ？
drink,喝,hē,v.,我想喝水。,,wǒ xiǎng hē shuǐ 。
我想喝水。,I would like water,喝,hē,v.,drink,wǒ xiǎng hē shuǐ 。
and,和,hé,conj.,爸爸和妈妈都在家。,,bà bà hé mā mā dōu zài jiā 。
爸爸和妈妈都在家。,Mom and Dad are at home.,和,hé,conj.,and,bà bà hé mā mā dōu zài jiā 。
with,和,hé,prep.,他和王先生说话呢。,,tā hé wáng xiān shēng shuō huà ne 。
他和王先生说话呢。,He was talking to Mr. Wang.,和,hé,prep.,with,tā hé wáng xiān shēng shuō huà ne 。
very,很,hěn,adv.,李小姐很漂亮。,,lǐ xiǎo jiě hěn piào liàng 。
李小姐很漂亮。,Miss Li is very beautiful.,很,hěn,adv.,very,lǐ xiǎo jiě hěn piào liàng 。
at the back; in the rear; behind,后面,hòumiàn,n.,商店在学校后面。,,shāng diàn zài xué xiào hòu miàn 。
商店在学校后面。,The shop is behind the school.,后面,hòumiàn,n.,at the back; in the rear; behind,shāng diàn zài xué xiào hòu miàn 。
later; afterwards,后面,hòumiàn,n.,关于这个问题，后面我还会详细说。,,guān yú zhè ge wèn tí ， hòu miàn wǒ hái huì xiáng xì shuō 。
关于这个问题，后面我还会详细说。,I will elaborate on this later.,后面,hòumiàn,n.,later; afterwards,guān yú zhè ge wèn tí ， hòu miàn wǒ hái huì xiáng xì shuō 。
go back,回,huí,v.,我八点回家。,,wǒ bā diǎn huí jiā 。
我八点回家。,I'll be home at 8.,回,huí,v.,go back,wǒ bā diǎn huí jiā 。
number of times,回,huí,vm.,我去过一回北京。,,wǒ qù guò yī huí běi jīng 。
我去过一回北京。,I went to Beijing once.,回,huí,vm.,number of times,wǒ qù guò yī huí běi jīng 。
can; be capable of,会,huì,aux.,我会开车。,,wǒ huì kāi chē 。
我会开车。,I can drive.,会,huì,aux.,can; be capable of,wǒ huì kāi chē 。
"used after a verb, resultative",会,huì,v.,我学会了汉语。,,wǒ xué huì le hàn yǔ 。
我学会了汉语。,I learned Chinese.,会,huì,v.,"used after a verb, resultative",wǒ xué huì le hàn yǔ 。
may,会,huì,aux.,明天是不会下雨的。,,míng tiān shì bú huì xià yǔ de 。
明天是不会下雨的。,It won't rain tomorrow.,会,huì,aux.,may,míng tiān shì bú huì xià yǔ de 。
meeting,会,huì,n.,我们在开会。,,wǒ men zài kāi huì 。
我们在开会。,We're in a meeting.,会,huì,n.,meeting,wǒ men zài kāi huì 。
how many,几,jǐ,pron.,你有几个儿子？,,nǐ yǒu jǐ gè ér zi ？
你有几个儿子？,How many sons do you have?,几,jǐ,pron.,how many,nǐ yǒu jǐ gè ér zi ？
express an indeterminate amount,几,jǐ,pron.,我家里来了几个人。,,wǒ jiā lǐ lái le jǐ gè rén 。
我家里来了几个人。,A few people came to my house.,几,jǐ,pron.,express an indeterminate amount,wǒ jiā lǐ lái le jǐ gè rén 。
home; family; household,家,jiā,n.,我家在北京。,,wǒ jiā zài běi jīng 。
我家在北京。,My home is in Beijing.,家,jiā,n.,home; family; household,wǒ jiā zài běi jīng 。
"used for families, restaurants, hotels or companies",家,jiā,nm.,我哥哥开了一家公司。,,wǒ gē gē kāi le yī jiā gōng sī 。
我哥哥开了一家公司。,My brother started a company.,家,jiā,nm.,"used for families, restaurants, hotels or companies",wǒ gē gē kāi le yī jiā gōng sī 。
call(ed) (followed by a name),叫,jiào,v.,我的名字叫李明。,,wǒ de míng zì jiào lǐ míng 。
我的名字叫李明。,My name is Li Ming.,叫,jiào,v.,call(ed) (followed by a name),wǒ de míng zì jiào lǐ míng 。
today,今天,jīntiān,n.,我今天去北京。,,wǒ jīn tiān qù běi jīng 。
我今天去北京。,I'm going to Beijing today.,今天,jīntiān,n.,today,wǒ jīn tiān qù běi jīng 。
now; at present,今天,jīntiān,n,在今天，过去的东西我们都不太理解了。,,zài jīn tiān ， guò qù de dōng xī wǒ men dōu bù tài lǐ jiě le 。
在今天，过去的东西我们都不太理解了。,"Today, we don't understand much about the past.",今天,jīntiān,n,now; at present,zài jīn tiān ， guò qù de dōng xī wǒ men dōu bù tài lǐ jiě le 。
nine,九,jiǔ,num.,今天是八月九日。,,jīn tiān shì bā yuè jiǔ rì 。
今天是八月九日。,Today is August 9th.,九,jiǔ,num.,nine,jīn tiān shì bā yuè jiǔ rì 。
drive,开,kāi,v.,我开了三年出租车了。,,wǒ kāi le sān nián chū zū chē le 。
我开了三年出租车了。,I've been driving a taxi for three years.,开,kāi,v.,drive,wǒ kāi le sān nián chū zū chē le 。
open; found,开,kāi,v.,我爸爸开了一个小公司。,,wǒ bà bà kāi le yí gè xiǎo gōng sī 。
我爸爸开了一个小公司。,My dad started a small company.,开,kāi,v.,open; found,wǒ bà bà kāi le yí gè xiǎo gōng sī 。
open,开,kāi,v.,请开门，让我进去。,,qǐng kāi mén ， ràng wǒ jìn qù 。
请开门，让我进去。,Please open the door and let me in.,开,kāi,v.,open,qǐng kāi mén ， ràng wǒ jìn qù 。
hold,开,kāi,v.,我们学校在每年夏天开运动会。,,wǒ men xué xiào zài měi nián xià tiān kāi yùn dòng huì 。
我们学校在每年夏天开运动会。,Athletic meets are held in our school every summer.,开,kāi,v.,hold,wǒ men xué xiào zài měi nián xià tiān kāi yùn dòng huì 。
look; watch,看,kàn,v.,你看，那本书在桌子上呢。,,nǐ kàn ， nà běn shū zài zhuō zi shàng ne 。
你看，那本书在桌子上呢。,"Look, there's the book on the table.",看,kàn,v.,look; watch,nǐ kàn ， nà běn shū zài zhuō zi shàng ne 。
read; appreciate,看,kàn,v.,我在看书呢。,,wǒ zài kàn shū ne 。
我在看书呢。,I'm reading a book.,看,kàn,v.,read; appreciate,wǒ zài kàn shū ne 。
see,看见,kànjiàn,v.,我没看见他。,,wǒ méi kàn jiàn tā 。
我没看见他。,I didn't see him.,看见,kànjiàn,v.,see,wǒ méi kàn jiàn tā 。
RMB Yuan,块,kuài,nm.,这本书三十块钱。,,zhè běn shū sān shí kuài qián 。
这本书三十块钱。,Thirty dollars for this book.,块,kuài,nm.,RMB Yuan,zhè běn shū sān shí kuài qián 。
piece,块,kuài,nm.,来吃块西瓜吧。,,lái chī kuài xī guā ba 。
来吃块西瓜吧。,Let's have a watermelon.,块,kuài,nm.,piece,lái chī kuài xī guā ba 。
together,块,kuài,vm.,我跟朋友在一块儿呢。,,wǒ gēn péng yǒu zài yī kuài ér ne 。
我跟朋友在一块儿呢。,I'm with a friend.,块,kuài,vm.,together,wǒ gēn péng yǒu zài yī kuài ér ne 。
come,来,lái,v.,他是昨天来这儿的。,,tā shì zuó tiān lái zhè ér de 。
他是昨天来这儿的。,He came here yesterday.,来,lái,v.,come,tā shì zuó tiān lái zhè ér de 。
used to indicate some action,来,lái,v.,再来点儿水果，怎么样？,,zài lái diǎn ér shuǐ guǒ ， zěn me yàng ？
再来点儿水果，怎么样？,How about some more fruit?,来,lái,v.,used to indicate some action,zài lái diǎn ér shuǐ guǒ ， zěn me yàng ？
teacher,老师,lǎoshī,n.,他就是我们的汉语老师。,,tā jiù shì wǒ men de hàn yǔ lǎo shī 。
他就是我们的汉语老师。,He is our Chinese teacher.,老师,lǎoshī,n.,teacher,tā jiù shì wǒ men de hàn yǔ lǎo shī 。
used at the end of a senence to indicate change in status,了,le,mp.,昨天下雨了。,,zuó tiān xià yǔ le 。
昨天下雨了。,It rained yesterday.,了,le,mp.,used at the end of a senence to indicate change in status,zuó tiān xià yǔ le 。
used after a verb to indicate that the action is in the past and has been completed,了,le,sa.,我吃了饭就去你那里。,,wǒ chī le fàn jiù qù nǐ nà lǐ 。
我吃了饭就去你那里。,I'll come to you after dinner.,了,le,sa.,used after a verb to indicate that the action is in the past and has been completed,wǒ chī le fàn jiù qù nǐ nà lǐ 。
cold,冷,lěng,adj.,今天太冷了。,,jīn tiān tài lěng le 。
今天太冷了。,It's too cold today.,冷,lěng,adj.,cold,jīn tiān tài lěng le 。
interior; inside,里,lǐ,n.,我们都在学校里。,,wǒ men dōu zài xué xiào lǐ 。
我们都在学校里。,We're all at school.,里,lǐ,n.,interior; inside,wǒ men dōu zài xué xiào lǐ 。
zero,零,líng,num.,今年是二零一二年。,,jīn nián shì èr líng yī èr nián 。
今年是二零一二年。,This year is 2012.,零,líng,num.,zero,jīn nián shì èr líng yī èr nián 。
six,六,liù,num.,桌子上有六个杯子。,,zhuō zi shàng yǒu liù gè bēi zi 。
桌子上有六个杯子。,There are six cups on the table.,六,liù,num.,six,zhuō zi shàng yǒu liù gè bēi zi 。
mother; ma; mamma;mum,妈妈,māma,n.,我妈妈不在家。,,wǒ mā mā bù zài jiā 。
我妈妈不在家。,My mother is not at home.,妈妈,māma,n.,mother; ma; mamma;mum,wǒ mā mā bù zài jiā 。
"used at the end of a sentence, indicating a question",吗,ma,mp.,你是中国人吗？,,nǐ shì zhōng guó rén ma ？
你是中国人吗？,Are you Chinese?,吗,ma,mp.,"used at the end of a sentence, indicating a question",nǐ shì zhōng guó rén ma ？
buy,买,mǎi,v.,我买了一些苹果。,,wǒ mǎi le yī xiē píng guǒ 。
我买了一些苹果。,I bought some apples.,买,mǎi,v.,buy,wǒ mǎi le yī xiē píng guǒ 。
That’s all right. You are welcome.,没关系,méi guānxi,v.,甲：对不起！乙：没关系。,,jiǎ ： duì bù qǐ ！ yǐ ： méi guān xì 。
甲：对不起！乙：没关系。,A: Sorry! B: It's okay.,没关系,méi guānxi,v.,That’s all right. You are welcome.,jiǎ ： duì bù qǐ ！ yǐ ： méi guān xì 。
have no relation with,没关系,méi guānxi,v.,这件事，跟我没关系。,,zhè jiàn shì ， gēn wǒ méi guān xì 。
这件事，跟我没关系。,This matter has nothing to do with me.,没关系,méi guānxi,v.,have no relation with,zhè jiàn shì ， gēn wǒ méi guān xì 。
have nothing or nobody; can’t compare with others,没有,méiyǒu,v.,我家里没有人。 我没有他高。,,wǒ jiā lǐ méi yǒu rén 。  wǒ méi yǒu tā gāo 。
我家里没有人。 我没有他高。,I don't have anyone in the house. I'm not as tall as him.,没有,méiyǒu,v.,have nothing or nobody; can’t compare with others,wǒ jiā lǐ méi yǒu rén 。  wǒ méi yǒu tā gāo 。
cooked rice,米饭,mǐfàn,n.,我爱吃米饭。,,wǒ ài chī mǐ fàn 。
我爱吃米饭。,I love rice.,米饭,mǐfàn,n.,cooked rice,wǒ ài chī mǐ fàn 。
tomorrow,明天,míngtiān,n.,今天星期日，明天是星期一。,,jīn tiān xīng qī rì ， míng tiān shì xīng qī yī 。
今天星期日，明天是星期一。,"Today is Sunday, tomorrow is Monday.",明天,míngtiān,n.,tomorrow,jīn tiān xīng qī rì ， míng tiān shì xīng qī yī 。
name; title,名字,míngzi,n.,我的名字叫李明。,,wǒ de míng zì jiào lǐ míng 。
我的名字叫李明。,My name is Li Ming.,名字,míngzi,n.,name; title,wǒ de míng zì jiào lǐ míng 。
which ( used in front of a measure word),哪,nǎ,pron.,哪个杯子是你的？,,nǎ ge bēi zi shì nǐ de ？
哪个杯子是你的？,Which cup is yours?,哪,nǎ,pron.,which ( used in front of a measure word),nǎ ge bēi zi shì nǐ de ？
where,哪儿,nǎr,pron.,你家在哪儿？,,nǐ jiā zài nǎ ér ？
你家在哪儿？,Where is your home?,哪儿,nǎr,pron.,where,nǐ jiā zài nǎ ér ？
that,那（那儿）,nà（nàr）,pron.,我不认识那（那儿）个人。,,wǒ bù rèn shí nà （ nà ér ） gè rén 。
我不认识那（那儿）个人。,I don't know that person.,那（那儿）,nà（nàr）,pron.,that,wǒ bù rèn shí nà （ nà ér ） gè rén 。
there,那（那儿）,nà（nàr）,pron.,我们的车在那（那儿）。,,wǒ men de chē zài nà （ nà ér ）。
我们的车在那（那儿）。,Our car is there (there).,那（那儿）,nà（nàr）,pron.,there,wǒ men de chē zài nà （ nà ér ）。
"used at the end of a sentence, indicating an interrogative statement",呢,ne,mp.,你们家有几个人呢？,,nǐ men jiā yǒu jǐ gè rén ne ？
你们家有几个人呢？,How many people are in your family?,呢,ne,mp.,"used at the end of a sentence, indicating an interrogative statement",nǐ men jiā yǒu jǐ gè rén ne ？
used at the end of a sentence to indicate a statement,呢,ne,mp.,我在睡觉呢。,,wǒ zài shuì jiào ne 。
我在睡觉呢。,I'm sleeping.,呢,ne,mp.,used at the end of a sentence to indicate a statement,wǒ zài shuì jiào ne 。
can; may,能,néng,aux.,我能坐在这儿吗？,,wǒ néng zuò zài zhè ér ma ？
我能坐在这儿吗？,Can I sit here?,能,néng,aux.,can; may,wǒ néng zuò zài zhè ér ma ？
you,你,nǐ,pron.,你认识这个人吗？,,nǐ rèn shí zhè ge rén ma ？
你认识这个人吗？,Do you know this person?,你,nǐ,pron.,you,nǐ rèn shí zhè ge rén ma ？
year,年,nián,n.,我在中国住了三年。,,wǒ zài zhōng guó zhù le sān nián 。
我在中国住了三年。,I lived in China for three years.,年,nián,n.,year,wǒ zài zhōng guó zhù le sān nián 。
daughter,女儿,nǚ’ér,n.,我有两个女儿。,,wǒ yǒu liǎng gè nǚ ér 。
我有两个女儿。,I have two daughters.,女儿,nǚ’ér,n.,daughter,wǒ yǒu liǎng gè nǚ ér 。
friend,朋友,péngyou,n.,他是我的好朋友。,,tā shì wǒ de hǎo péng yǒu 。
他是我的好朋友。,He's a good friend of mine.,朋友,péngyou,n.,friend,tā shì wǒ de hǎo péng yǒu 。
good-looking; pretty; beautiful,漂亮,piàoliang,adj.,你的衣服真漂亮。,,nǐ de yī fú zhēn piào liàng 。
你的衣服真漂亮。,What a lovely outfit you have on.,漂亮,piàoliang,adj.,good-looking; pretty; beautiful,nǐ de yī fú zhēn piào liàng 。
apple,苹果,píngguǒ,n.,你想不想吃个苹果？,,nǐ xiǎng bù xiǎng chī gè píng guǒ ？
你想不想吃个苹果？,Would you like an apple?,苹果,píngguǒ,n.,apple,nǐ xiǎng bù xiǎng chī gè píng guǒ ？
seven,七,qī,num.,一个星期有七天。,,yí gè xīng qī yǒu qī tiān 。
一个星期有七天。,There are seven days in a week.,七,qī,num.,seven,yí gè xīng qī yǒu qī tiān 。
money,钱,qián,n.,一个苹果三块钱。,,yí gè píng guǒ sān kuài qián 。
一个苹果三块钱。,Three dollars for an apple.,钱,qián,n.,money,yí gè píng guǒ sān kuài qián 。
before; in front; at the head; ahead,前面,qiánmiàn,n.,前面那个人是我的同学。,,qián miàn nà ge rén shì wǒ de tóng xué 。
前面那个人是我的同学。,The person in front is my classmate.,前面,qiánmiàn,n.,before; in front; at the head; ahead,qián miàn nà ge rén shì wǒ de tóng xué 。
please,请,qǐng,v.,请坐在椅子上。,,qǐng zuò zài yǐ zi shàng 。
请坐在椅子上。,Please sit in a chair.,请,qǐng,v.,please,qǐng zuò zài yǐ zi shàng 。
request; ask; invite; engage; hire,请,qǐng,v.,我去请老师帮忙。,,wǒ qù qǐng lǎo shī bāng máng 。
我去请老师帮忙。,I'll ask the teacher for help.,请,qǐng,v.,request; ask; invite; engage; hire,wǒ qù qǐng lǎo shī bāng máng 。
entertain; treat,请,qǐng,v.,他想请我吃饭。,,tā xiǎng qǐng wǒ chī fàn 。
他想请我吃饭。,He wants to buy me dinner.,请,qǐng,v.,entertain; treat,tā xiǎng qǐng wǒ chī fàn 。
go; leave,去,qù,v.,我星期三去中国。,,wǒ xīng qī sān qù zhōng guó 。
我星期三去中国。,I'm going to China on Wednesday.,去,qù,v.,go; leave,wǒ xīng qī sān qù zhōng guó 。
"used after a verb, indicating the tendency of the action",去,qù,v.,小猫跑到房间里去了。,,xiǎo māo pǎo dào fáng jiān lǐ qù le 。
小猫跑到房间里去了。,The kitten ran into the room.,去,qù,v.,"used after a verb, indicating the tendency of the action",xiǎo māo pǎo dào fáng jiān lǐ qù le 。
remove; get rid of,去,qù,v.,把这个字去掉，这个句子就对了。,,bǎ zhè ge zì qù diào ， zhè ge jù zi jiù duì le 。
把这个字去掉，这个句子就对了。,Remove this word and the sentence is correct.,去,qù,v.,remove; get rid of,bǎ zhè ge zì qù diào ， zhè ge jù zi jiù duì le 。
hot; high in temperature,热,rè,adj.,今天很热。,,jīn tiān hěn rè 。
今天很热。,It's hot today.,热,rè,adj.,hot; high in temperature,jīn tiān hěn rè 。
